,Recent headlines and conversations for SBUX,Polarity
1578,"Over 20 million shares of SBUX trade it at over $96.00 a share just a few months ago , now they 're trading at $82.00 which = to $300 million just disappear in space ?",0.626
1579,"Nice swing trade yesterday. They always push it higher and then it sells off. $.35 times 3,000 .. 4 times in a week. Thank you",0.7881
1580,Bought 10 shares,0.296
1581,Just went green. thanks for the cheap shares,0.7954
1582,Goy yo love that drop. he he ha ha ha,0.8928
1583,"I saw long ""to go"" lines across each Starbucks stores near my neighborhood. The company still make profit even during this time. I took some shares today, let's see future developments.",0.9081
1584,Sbux has been flat for 3 years for a reason folks,-0.0725
1585,68 on Tuesday !,0.1022
1586,Going to $100.00-$105.00 by Spring!,0.3786
1587,"solid ""buy the dip""",0.4542
1588,"SBUX is currently overpriced, very high P/E ratio, and trade war in progress between China & USA. I see low $50s per share around the bend.",-0.0303
1589,"Wow, it never ends with starbucks. They can let homeless, smelly, encopresis, obnoxious customers in, and drive away many good customers, but they turn around and ask the Police to leave. I think a good solution would be to allow the Police to not respond to 911 calls from Starbucks, the employees participating in asking them to leave, and the customers who probably put them up to it. We could easily have a nationwide list of people who don't like the Police, and who also might target the Police. And for that matter, lets keep the EMT and Fire Dept away, when you've been in an accident or your house is burning. If you like anarchy, lets let you be the first victims of a lawless society, and see how that works out. Generally, people who don't like the Police use drugs and deal them. The police should have asked the barista who wanted them to leave, then got a search warrant for that person.",0.886
1590,Now let’s see how this new rewards program is going to impact q3 results,0.4747
1591,in what world does having your debt increase by 7 fold in 5 yrsand your income decreases 4 fold in the same 5 yrs ?Alister Crowley will have to return from his grave to save this one,0.1672
1592,"Remember when Nike blew past their 52 week high and PT when they faced a similar situation as SBUX with declining US sales, but were able to turn it around? Those gains continued after ER. I expect SBUX to continue to roar until their PE is about 25 about the same as McDonald’s. There are at about 20 right now. Still some room forward.",0.9376
1593,"ONCE LK go bust, it will be full steam ahead in china to rule the roost for starbucks.",0.6729
1594,NSTSA investigating accidents involving Tesla's Summons Mode. They must have been reading my posts ,-0.6235
1595,Use to spend $300 a month at Starbucks. They are now lucky if I buy one coffee this month for $5... it’s just got old! And their breakfast sandwiches I got because I had no choice but they taste like cardboard...,0.8113
1596,SBUX is up 4.92% to 82.29,0.1818
1597,Time to buy,0.1484
1598,"why people like drink SBUX coffee ???because only SBUX coffee have fresh taste, others don't have it,",0.7069
1599,the Chinese will boycott all Americans companies,-0.4348
1600,Long,0.447
1601,Frappuchino 17 times the price of gasoline.,-0.2062
1602,"My wife and I have Starbucks everyday, 7x week. We spend $21-26 each time. Love the products!",0.8085
1603,or $59...,-0.0087
1604,Missed out on a good opportunity :(,0.3155
1605,when's earnings? tomorrow before or after market?,0.1152
1606,"Now that Schultz isn’t running for president, MAKE SBUX SAFE AGAIN!",0.8122
1607,"Honestly Starbucks is a great company but ever since Kevin Johnson took over, Domestic sales are weak, Shares are as flat as a pancake, and now this racial nonsense. Starbucks has management problems and the Stock shows it",-0.4933
1608,Oat milk shortage. Heads up for for a tumble.,-0.5401
1609,Recession coming to a town near you. Buy yellow metal. #EGO #AMZN #AAPL #SBUX,-0.1796
1610,"Starbucks China Shops have reopened, but this means, that at the door someone does take your temperature and inside you have to sit 10 feet apart from each other. At the same time you need to continue paying your rent and your employees' salary. So basically, you are losing money.",0.1015
1611,why??? I dont get it Can someone explain,0.4129
1612,Please submit uniform styles for SBUX Baristas to wear on roller skates for curb service. I will then submit to home office in Seattle.,0.8701
1613,I used to buy more when it'd dip below 55. I'm getting a little overweight on it now. Still a believer that it'll catch fire again.,-0.375
1614,They wanted to use the bathrooms and refuse to buy anything. Then they say there and refuse to buy anything. That’s trespassing. It happens to all races. Why should this be a special event? It’s just for the bait for free money.,0.7091
1615,haha you guys said the stock would keep dropping yet it keeps going up,0.7463
1616,Come on baby.Drop a bit more,0.0545
1617,More growth ahead. Holding long. Starbucks (SBUX) Banks on Solid Global Footprint for Growth https://finance.yahoo.com/news/starbucks-sbux-banks-solid-global-162504612.html,0.8918
1618,BUYER83.00,0.0
1619,"SBUX to permanently close all indoors. Why? This is the way America talks now. ""Out of an abundance of caution, "" "" Using best practices."" ""Following new strict protocols, "" ""Keeping us all safe."" K",0.7091
1620,Never should have turned on sports teams & hunters. They all went to DUNKIN.,0.1439
1621,UNDER $60 SOON,-0.0605
1622,One hour till earnings prediction +/- 2-5 percent move AH imo,0.698
1623,"Couldn't happen to a better company. Stopped by a SB place this morning - full of Dindus working on RE deals, but not buying anyrhing, lol. No wonder the chairman stepped down. But, too late, he stepped in it up to his liberal neck!",0.4716
1624,I just tried to get in to my local Starbucks and it was so crowded I couldn't even get into the door. This companies going to make a fortune over the cold Winter holiday season. If you're shorting the stock right now you are an idiot.,0.1279
1625,"Little Miss MasonA person who tends to hum and dance in front of the telly to annoy her friends. Has an affinity for kittens, melons and rugby neanderthals. Generally a girly-girl at heart despite having a mean streak and an underlying dark, twisted sense of humour. Sweet and playful at times though frighteningly violent when intoxicated. When provoked, items hurled at friends include: rotten apple cores, old newspapers and home made fish-finger sandwiches (don't forget the tartar sauce!).Will you move your butt and stop dancing in front of the TV?! I wanna change channels- stop being such a Little Miss Mason dammit!by Malibu Stacy November 16, 2004",-0.4514
1626,"highest price normal coffee, coffee stands have hard time making money, buy from them",0.4899
1627,$SBUX such a dog that $DNKN doesn’t even consider them competition anymore. Who wants that burnt swill?,-0.0744
1628,there are so many new coffee bars opening that have better coffee than Starbucks and you don't have to wait 15 minutes to get a coffee,0.6633
1629,STARBUCKS Drive-through is always busy,0.2146
1630,Theres always tomorrow boys,0.2693
1631,Should have never sold my sbux... grats long!,0.5807
1632,"This is a joke? The Dow is down twice as much than SBUX today. Will people still feel comfortable going to SBUX when they are scared of Coronavirus and when their stocks are down. Also, China is coming back, but really slowly and SBUX is most probably losing money on its China business. This should be down much more. Any opinion?",-0.2852
1633,I sold Starbucks at the top after holding for years. I would have bought back my shares around 50 except every time I go into a Starbucks store it’s almost empty. Back when I first bought SBUX the stores used to always be full with long lines. Now you can walk right up to the counter and place your order and there is no problem parking. I haven’t seen a full store in a long time.,0.9212
1634,This is only getting worse. Sold this dead cat bounce and will start accumulating again in the 50’s. Great long term but the next 3-6 months will be rough,-0.0981
1635,Went to Starbucks twice this weekend. Nice coffee and pastry,0.5444
1636,"Hey, why stop at unlimited loitering? How about free coffee for the homeless, transients,bums, beggars, BLM, LGBTQ, La Raza, and all illegals. Only those who benefit from ""white privilege"" should have to pay & of course higher price to subsidize the ""needy & oppressed. Starbucks should be renamed something like the Lounge & Loiter Safe Space Java Jungle.",0.8951
