,Recent headlines and conversations for LOW,Polarity
850,"Retail sales will slow for LOW and HD, but that’s not a reason to say they are going to give back most of their gains since March. These stocks did well prior to COVID and will do well after. If there is a significant pullback, it’s a dip to buy. Shorts think these stocks are going the way of the dodo. They are in for a rude awakening. Don’t let their songs of doom cause you to miss out on the dips. Think long term, not short term.",0.856
851,"Go into any Lowe’s, absolutely on fire. Stimulus checks are rolling in as well, no end in sight to how well Lowe’s performs this year!",-0.7046
852,Fading into close?,-0.473
853,how is this junk still down with the market up,-0.3339
854,Another month ends with Lowe's in the seventies. Probably end there again next month after they miss per shares earnings for Q3.,0.5239
855,$low and $teady...patience will pay,-0.1648
856,Up three cents....DSC sold three mops !!,0.3222
857,It's Hammertime!,0.0
858,"Cost basis in Lowe's is $69.87. Bought on the bottom of the pandemic in March. Just one of many stocks I bought on that massive dip. If you didn't take advantage in March shame on you. Never let fear guide your decisions on making investments. Always be willing to pounce on any dip unless it's a true catastrophe, which COVID 19 is not.",-0.5843
859,Too easy...they will beat...they have no trade with China. Next question.,-0.2484
860,HTEY WILL SURPRISE U WATCH AND SEE,0.3641
861,"the MGT of Lowes are idiots, you can no longer buy rope at lowes. because it can be used to make a noose. I need rope for my job, for home. I guess Home depot, ACE and TrueValue will get all my business.",0.3924
862,end of day fade in T-minus 2h-55min,-0.1456
863,If we close above $ 98 tomorrow party is over for shorts. Chart say $ 98 is strong support.,0.8909
864,We may have here an upside runner to watch. Target: 110.51.,0.5811
865,Any ideas of where to set my sell price for tomorrow?,0.3251
866,SHOOTING DOWN IN FEW MIN WATCH AND SEE,-0.542
867,Who is DE SHAW?Is he so powerful? May be we should just follow his portfolio,0.7691
868,"CFO is great on reeking havoc on people lives - keep laying off people and closing stores - how about trying to grow revenue?while the CFO gives himself 14 million in salary. Now he is cutting veteran discounts on sale items. They should not be allowed to have a veterans day sale if they can""t give veterans a discount.WHAT A GREAT AMERICAN",0.8515
869,Today's price: Southern New England. $8.08 for a 2 x 4.,0.1785
870,Another Day.......Another Day of Lowes Selling..........MORE........TIMMMMMMMM BAHHHHHHHH !LOL,0.6341
871,Dont know how they will make money on lumber that nobody buys. The solution to high lumber prices will eventually be...high lumber prices. For the couple of quarters in between I'm not too bullish here.,-0.1265
872,COVER COVER COVER COVER COVER GUYS BUY BACK LOWES IS DOING BUY BACKS WATCH AND SEE NEXT HOUR THEY DOING BUY BACK,0.3858
873,LOW is now officially in bear market territory.,-0.6586
874,I bought anybody else,0.0027
875,Can't even look at this anymore. Looks like I'm stuck with this stock for a couple years.,0.4215
876,where does it go from here?,0.0187
877,LOW reached a 52 Week low at 70.46,-0.5277
878,Boycott Amazon.,-0.1531
879,TOLD U I HAVE TO CVOER,0.0094
880,CLINTON FOUNDATION(S): BEING OUTED @ PATRIOT SOAPBOX 24/7,0.0
881,Look out below !,-0.2042
882,LOW is down 7.50% to 97.41,-0.5882
883,"I may not know much, but one thing I do know: this stock is sinking like a rock.",0.9237
884,Come on lets close above $ 98,0.3142
885,LOW is up 8.56% to 90.89,-0.2771
886,"What's the chance the lumber shortage will reduce total sales? I imagine higher prices will scare off buyers who don't need lumber now, with profits taking a small hit. Thoughts?",-0.4743
887,I agree Lowes Directors need to take a good look at the management proble need change. At the Top level,0.8207
888,"As I posted on I-Hub weeks ago your new CEO Ellsion is about to see his past come to light while he was at helm at JCP, and Shareholders at JCP, as will its PPS, will benefit handsomely when Ellison's deeds are revealed and Shareholders vindicated.Monday, August 27th, 2018 @ 1:30pm Courthroom 108; US District Court, Eastern District of Texas/ Sherman Division",0.9249
889,"9% down in 1 day with no news. Super surprised. When it dropped 9 points, I bought more and options. Then hello down 15.",0.1197
890,"Long and strong. I've made a lot of money with this stock. More than HD. I bought this at the bottom of the pandemic and have a 90 percent gain. Business is strong, etc. This stock will do well in good and bad times.",0.9555
891,"short puts, make your cash take profit and go long around march. It's not rocket science.",0.671
892,Great buying opportunity here now to get some Lowe’s at a little bit of a discount! I just took advantage of the dip and bought some. Good luck all!,0.9641
893,Anybody been to Home Depot or Low's lately? Packed!!!! This summer will will be great for these companies.,0.8138
894,"When, I ask when....Is Lowe's BOD going to realize Niblock is a loser? He's tried for 10 years to make Lowe's ""his"" company. Well...It's not working!!! Lowe's stock has grown, not due to Niblock's infinite wisdom, but more tied to stock market growth. I",0.877
895,LOW approaching my buy zone again. start @ 95 and mo' LOW if it goes below. If I was a new investor I would ease in now...,-0.3666
896,WATCH AND SEE HE GOING SQUEEZE US SHORTS WATCH SOON,0.5787
897,FUCKER IM GOING TO DO ANOTHER COVER HERE,-0.5768
898,"Read Loop Capital put a $130 target on LOW recently I thought I had read, and looking at tip ranks price targets range from $109 up to $140. within the last 3 months with average for $122, good time to think about some stocking stuffers. Citi says stock has room to run and serves holders a dividend. We will see I suppose after earnings if anything is worth what these analysts are thinking by how bad the reaction is I suppose.https://www.tipranks.com/stocks/low/price-target",0.7431
899,Tailwinds (Strong Housing Market & Teleworking) will continue into 2021 and beyond. Keep adding on any pullbacks!,0.3698
900,This will such a positive change for the company. I hope it's not to late to save what used to be a great company.,0.9256
901,"May 1, 2017 HD opened at 156.22April 30th, 2018 HD closed at 184.80 or 28.58/share higher than one year ago.May 1, 2017 LOW opened at 84.84April 30th, 2018 LOW closed at 82.43 or 2.41/share LOWER than one year ago.There are other places where your money is better invested where it will actually grow. At least for now. Unless you just want to sit and watch your money going sideways with $3 to $4 dips up and down indefinitely, waiting to catch the next train to $108 (and it will pop at some point when the new CEO is announced)There is currently support at around $81.37 - $82.35 range, with resistance at around $84.30-$85.00If we have another day tomorrow like we did today it will break below current support and I believe you will see mid-upper $70's soon as the new support levels.",0.8555
902,SELL SHORT NOW,-0.4177
903,I’m thinking this SF idiot is a bot. MUTED,0.8656
904,SHORTED MORE MORE MORE LOL YES BABY AT OPEN GOING TO 120 MAKE EASY 20K,0.9151
905,Most home owners upgrade their homes as their major investment so there will be a consistent flow of cash to the home improvement store( Lowe's ),0.8643
906,Lowes should have a 1% restocking fee on items returned with no receipt or proof of purchase.,0.0979
907,HOW CANU GO IN RED FROM $7-8 A SHARE DUMMIES,-0.2882
908,"LOWs may have service problem, I just ordered a dryer on line, and was waiting the whole day to get it delivered on the specified date, but it was delayed until I called them after waiting for long time. This is just a beginning a nightmare, later I talked to the store manger finally after waiting long time, she said they do not have the device in store, the local center did not pass the device to them. And promise will call me back to get this resolved. But later I checked the internet, it was canceled. Next day is Easter, they are off, and morning I called the customer service again, I was told it is out of stock, but I try to order it again on line, it is still available, then I said I need to talk to his manager. He is very reluctant, after wait for long time again, a manager came and I ordered it again, but will be delivered 8 days later again. For a person waiting for dryer for all the wet clothes, I can accept this kind of service and deliver time. I am not sure whether I can get it this time either, this is totally different with my previous experience with them, my old dryer was bought form them too.",0.9907
909,Last earnings HD tanked and Lowe’s shot up. I’m taking my chance on Lowe’s,0.6012
910,Brain dead morons selling on a huge upgrade from MS going from $190 to $210. That's some 40% higher than current prices. I am adding more here.Morgan Stanley maintains Lowe's Companies with a Overweight and raises the price target from $190 to $210.,-0.1594
