,Recent headlines and conversations for GRUB,Polarity
1037,0 retracement then?... Come on naked shorts...,-0.0735
1038,I’ll be back Monday. Tomorrow is a non event for most part,0.1814
1039,8 bil,0.3344
1040,Watched $GRUB yesterday. Good news +. 25%short interest = 22% gain. What happens with 65%+ short interest? Boom.,0.8995
1041,Ouch!,-0.5801
1042,not profitable and Powell said the truth on market is in bad shape?,0.3751
1043,"OLO is new to us, so no more Ole'.....going to 30 again...maybe for christmas HO HO HO HO....",0.835
1044,"@Ape ... <-> Hoping Uber will move back up to 40 and the deal is agreed at $2. Would be a nice $80 for Grub. <->I don't think you understand how all-stock deals work. If the purchase price of GRUB is set to, let's say at $6B (stock only, w/ debt not included) then when UBER stock price is going UP, the ratio is going down to match the cost - IOW, GRUB receives less stock from UBER. If the debt is included in the $6B purchase, then it needs to be subtracted from the total purchase price - and so even fewer UBER shares will have to be exchanged for every GRUB share. The exchange ratio moves with UBER's stock price, it's not fixed until the EOD of the deal, if it happens. Considering the debt GRUB carries, this would be a major valuation roadblock, as UBER already has a lot of debt, and just got nearly $1B more. That alone could shave a number of points from ratio. Another problem with this deal that no one talks about, is that there is significant overlap in the cities served by both UberEats and GRUB, and delivery businesses are not scalable so adding more drivers and having a near monopoly in certain areas will greatly increase anti-trust issues and local restrictions, like in NYC. This is not such a great deal for UBER in that it may not be able to gain significant market share the way it may look ""on paper"" at first glance.",0.9886
1045,They must be forcing retail to say uncle. Sorry for you guys,-0.3543
1046,Good for Grub investors. Very bad for Uber.,-0.1334
1047,They raised guidance lol,0.4726
1048,Perfect example of market exuberance - irrational pricing and trading. Nothing matters right now and stocks will move up into stupidly overbought conditions.,-0.257
1049,Show us $40!,-0.0841
1050,@grubhub ceo Interesting..,0.0296
1051,Mmmm the CEO can't be bothered to grow this company & beat competition.,0.5916
1052,BOD must Terminate Maloney over Comments to Employees. He is the Most Divisever CEO in History. Stckholders must vote this jack OUT!,0.8033
1053,"Y’all need to sell ! Big time smart people put the hammer on this company, the BIG SHORT has stated his case on live TV and he sounded spot on ! I think Mr Chanos is spot on and will make a boat load of money on this short",0.5599
1054,timber !!!!! watch out,-0.4727
1055,collapsing here,-0.3346
1056,"Weeeeee. Average after hours buy just dropped by over 2 dollars, LOL.",0.5193
1057,Oversold? Earnings down but rev's up 50%. Growing faster than previously. CEO is optimistic. Expect 50% growth ahead. Oversold?,0.8544
1058,bye buy bye,-0.2575
1059,Who's buying a $40 stock at $57.50? You people are morons,0.2314
1060,"CEO should be terminated immediately, unless the Board has a fetish for shareholder suits. This guy has to be the dumbest man on the planet. Maybe he should have a queue on the website, advising that Grubhub is only interested in half the US populace. There is an absolute certainty that this will beget a shareholder suit.",0.848
1061,"The amount of companies that have enormous debt and have never had an annual profit and in many cases never had a quarterly profit is flat out scary. In 5 months we elect our President, then what?? Fed/Treasury still printing and buying everything?? $w $uber $tsla $grub $z $nkla etc etc",0.8784
1062,Everyone benefits except the stupid stubborn shorts still hanging on their positions,-0.5673
1063,I like to buy puts at top of chart. 80 p/e for $0.99 cents software and underpaid bunch of /unemployed / tip hungry people.this POS is a value of $ 4 per share. just wait.,0.9235
1064,I think now we just need to figure out what the buy out share price should be?,0.7947
1065,"If Uber no longer has the thin fantasies of freight and self-driving projects. If their hoped for profit comes from low margin, mature and unscalable food delivery, (with or without Grub), and rides, period. Let's say they can manage their enormous debt and eventually can dispose of absurd global market bets, then somehow regularly produce an annual GAAP profit of 500 million Giving the business a 40x multiple, then Uber would have a market cap of 20 billion and a share price of $11.76. If you give a 30x multiple, (appropriate for a growing delivery and transport company), then it would have a market cap of 15 billion and a share price of $8.85. I am not calculating the dilution of shares on any acquisition.",0.9627
1066,Will end the day near $54,0.0432
1067,what's going on with grub ?,0.0749
1068,"Any employee who voted for Trump who works for GrubHub you just got handed a very simple lawsuit from this CEO in which you could easily pick up a couple of Million dollars, due to political discrimination which is causing you to fell intimidated to work in that type of work environment",0.4398
1069,Up almost 25% from the low today?? Insane.,-0.4489
1070,wake up and smell the pump and dump,-0.0245
1071,GRUB is up 21.41% to 84.88,0.1818
1072,"According to CNBC's David Faber, Uber (NYSE:UBER) rejected Grubhub's (NYSE:GRUB) acquisition proposal of 2.15 Uber shares per GRUB share.Faber's sources say the two companies have talked off and on for nearly a year without reaching a price agreement for the all-stock offer.",0.7699
1073,pump & dump,-0.3583
1074,Many BBB Compaintshttps://www.bbb.org/us/il/chicago/profile/food-delivery/grubhub-0654-88362004/complaints,-0.0054
1075,Ouch ! Run Forest Run !,0.2378
1076,"You have to be legally insane to buy stocks that lose money every quarter and can’t tell you when they will turn a profit if ever... #GRUB, #UBER, #LYFT",0.0528
1077,Just saw grubhub commercial during game 7 World Series holy smokes. There goes $1.5 million,0.2976
1078,Once again congratulations to all the dumpster divers that got destroyed on this board for buying at 33/34. Up almost 25 percent by not following groupthink in-the-moment hate.,0.3245
1079,"They just featured (""GRUB"") on this sites morning watchlist. (https:// www.tradenow.xyz)",0.4631
1080,Time to sell Short now,-0.4058
1081,Another jump... wow,0.6134
1082,This is a CLASSIC collapse on poor earnings! Big and fast downside move! This is why I LOVE being a Pure Earnings Short Seller: Great opportunities to make good money fast. Gotta be willing to risk the big losses too. The best way to try to double your money in a few months. I am staying Short here looking for more downside.,0.7002
1083,Can Dash be above $400s like Zoom one day? I am not crazy but again think twice as Dash has 10x better numbers than any big delivery systems.,0.924
1084,Let’s go up to 72$ if it’s 2x shares of Uber. Uber is 36.22$ now.,0.4694
1085,UberEats,0.0
1086,Come on Dhara pay up,0.1391
1087,Shorts are officially smoked,0.0599
1088,60 or 55?,-0.0087
1089,Here is another gift. PINS Pinterest. Earnings tomorrow after ipo,0.5307
1090,going back UP. See you at $100s,0.451
1091,EVEN CRAMER SAID SELL.,0.0984
1092,RESIGN MALONEY!,-0.4003
1093,You should be buying all you can today. The trading value is worth it alone,0.7052
1094,Did you guys see the article below from the Dominoes Pizza CEO on GrubHub?,0.4298
1095,I Bought more at 65. This is going back above 100 soon.,0.3907
1096,"Moving up nicely now. If the past 3 quarters are any indication, GRUB should be at new highs Wednesday",0.8008
1097,"Bet GRUB, was way too cheap, and won! Great Day!",0.9071
1098,great short opportunity! This will go back where it started today,0.6509
1099,Grubhub can reach 80 by June.,0.0624
1100,hehe burn shortiez burn hehe!,-0.0878
1101,WOW ! Take Your GRUBBY HANDS OFF THIS ONE !Bagholders Seen Below Running Through TheTIMMMMMMMMMMMMBERRRR FOREST !,0.9229
1102,"Guys, no question there ER was very good, guidance was very good too. Then the question is why is this down so much from the highs? Yes you can say that the overall market was down a lot too. But I think we can all agree this has lost about 1/3rd of the value. So this is what why I think this is going down:Its about margins getting squeezed cuz of there 10 mil spend on adds.Let me know what you all think?",0.9509
1103,Great deal for both,0.6946
1104,GRUB appears to suggest upside opportunity. Im not sure about you guys but awesomeSTO-CKS has provided me with some pretty good trade ideas. I messed up executing some of them but thats on me.,0.9462
1105,https://www.google.com/amp/s/www.bloomberg.com/amp/news/articles/2020-05-29/uber-grubhub-deal-hinges-on-break-fee-after-narrowing-price-gap,0.0
1106,why halted again?,-0.1824
1107,"They have dragged this out for a month now, and GrubHub has seen an inflated price since. Why not drag it out longer with more leaks so execs can offload. It's starting to get fishy to me guys.",0.1135
1108,greed level in stocks 110%,-0.1534
1109,"GRUB is FAR OVERVALUED. Should go to $40 in Jan, or even lower.",-0.3687
1110,Lol,0.4215
1111,"Man, when the market is down on a company, no matter how much positive news comes out, this thing just can’t reverse course. Brutal. Seems it’s either all up or all down with this company, no middle ground",-0.4695
1112,No deal will go through - this is a fraudulent company. Read the legislative actions from NYC issued yesterday,-0.6468
1113,$72-$76 by end of June.,-0.0319
