,Recent headlines and conversations for CMCSA,Polarity
818,"LOL! Lying loser FAKE NEWS  President Trump Twitter tweets driving major fake news networks crazy. Fake news in death spiral. Soon nobody will Watch Nightly News. Lies, made up stories, CNN- caught cheating giving Hillary questions in advance of the presidential debate, NBC- Brian Williams lying about military attack well flying in a helicopter. CBS- Dan Rather making up fake story about President Bush military record to name a few reason why News media approval rating at 15% low. Congress at 17% even has higher approval then Fake News shame on you. Your more irrelevant everyday. Try telling the truth it'll work just fine",-0.9154
819,Comcast #205 on Forbes' America's Best Large Employers 2021 List.,0.7695
820,Maddow adds another name to the list of Trump associates who met with Russian officials during the campaign.,0.5631
821,Good time to add here down almost $1 in premarket,0.3665
822,"Cant watch Squawk Box anymore, switching to Bloomberg- CNBC is over woke and has become the mouthpiece for BLM's. GLT",0.2023
823,Mike we might turn green today.,0.3614
824,selling for 40 cents on the dollar,-0.0984
825,bullish the parks full,0.5136
826,comcast beat earnings,0.2802
827,I missed the boat on adding under 46$ if there is another pullback at 46 I’ll be sure not to miss it,0.3454
828,"Accuweather is running a story about giving back land that Presidents Clinton and Obama stole from people, including Native Americans. Does anyone have faith in the Bureau of Land Management ? Remember how hundreds of rare mountain goats died, because the federal govt wouldnt go in and get them water ? The elss things the government owns, the less waste and mismanagement there is. Shouldn't be the govt be buying food, heat, and shelter for the poor, instead of land grabbing by socialist presidents ? You'd think different if it was your land being stolen.. Kudos for Mr. Trump giving back that stolen land.",0.1412
829,Both parties suck waste of time watching any media it’s all about agenda debt bomb ahead,-0.7656
830,"How about NBC's timeless. Making fun of Christians. Don't worry, they'll never bash Budhism, or Islam, or Judism, but they hate ALL religions. So when you see a swipe at Christianity on TV, no, its a swipe at ALL religions. And part of your cable bill goes to making junk like this. Instead of rolling out high speed internet at low prices, like Europe, Comcast is making fun of religion.So tell me, why do you own their stock ?",0.1008
831,"I remember years ago (preceding two subsequent stock splits), Verizon had announced entry into the video cable business, and the stock was $11 a share. Who knows, maybe history repeats itself.",0.5796
832,how come i cant turn the station when there is an xfinity commercial on??,-0.2106
833,Fake News CNN realize Trump beat Hillary. Shows how bias fake news CNN truly is.https://m.youtube.com/watch?v=YwvW85AyIO4,0.3675
834,"Accuweather. They keep changing my temperature to celcius. They boats about how the National Weather Service failed to give a storm warning Several weeks ago, they had a story about how Michael Jordan gave money to storm victims (before Florence). Conveniently, a movie he voiced for, or produced was released. That too was noted on accuweather. Now, they tell us how a town where Jordan played basketball as a kid was hit by Flo. WHats going on with Jordan. WHy is every 3rd story on accuwweather about Michael Jordan. is he part owner ? does he know the owner ? what what what ? i'm thinking of going back to the weather channel net site.",0.8695
835,CNN your Fake News Network. https://m.youtube.com/watch?v=ssOKZyPomVc,-0.0057
836,I took a nap for an hour and the market dumps again. What the #_&%,-0.4451
837,"If someone is running away from you, they can still turn around, at any given moment, and put a hole in you. How about you and I stand face to face, and I run away, with a gun in my hand. Can I stop and turn and kill you ?Can we try it ? I'll run 2 steps, and turn. Think I can hit you ? I'll run 3 steps, think I can hit you ? How about 4 ?",0.3543
838,went down in 3 weeks from $45 to $36,-0.2265
839,"a person who really hated slave owners would take their dollar bills, which has George Washington on them, and burn them.once again, over and over, we see how liberals are nothing more than hypocrites.",-0.5817
840,Concast the most corrupt and immoral company on the face of the earth,-0.7179
841,"40,000 hard working americans lose their homes, and the lousy lame duck race baiter decides to play his one thousandth round of golf.He has done more for Iran, than for Americans over the past 7 years, unless you include the mid level crack and meth dealers he pardoned last week.And the old bag is resting her weary bones for the next 3 days.Its hard getting up and down the steps on that bus.",-0.5605
842,the markets continue to be propped up by central banks a very dangerous situation and unprecedented times all stocks are vulnerable,-0.6872
843,"To be honest, CMCSA is undervalued .Great buy ! Should trend up pretty soon.",0.9403
844,LIKE I SAID LAST YEAR KELLY AND WILFORD HAVE CHEMISTRY. ABOUT TIME,0.4145
845,"The last class act athlete from Philadelphia just got cut. Connor Barwin. The guy who helped raise money and rebuild badly needed parks in the city. The guy who offered to take a pay cut to stay. To be sure, Connor looked sub par during the middle of this past season. It was better that he rushed every play, instead of covering running backs down field. But like most Eagles defensive linemen, he could not hold up the entire year. Funny, I see them rotate players during a game, but that rotation probably stops mid game, and from then on, they are running on fumes. Anyway, Connor, I applaud you, and hope you do well wherever you end up. Malcom Jenkins could learn what the word respect means from a class act like you. Lurie should have sent the disrespectful Jenkins packing, instead of you. What did Jenkins do for the city of brotherly love, except get rich from it.",0.996
846,"I see Rachel Maddow ratings soaring. Not sure what delusional multi alias poster Dave/Nancy/Berry is reading, but he/she is misinformed, if not just jealous. Anyway, CONGRATULATIONS RACHEL!!! KEEP UP THE FINE WORK!!!!",0.9226
847,Money printing and record debt last 40 years both parties guilty they all suck prepare accordingly,-0.5419
848,"While watching the flyers again, yeah, I gotta get a life, the announcer on NBCSN questioned what the flyers will do with the trade deadline approaching. Why would he ask that. They haven't signed anyone late season for a playoff run in a decade. Then they threw out Wayne Simmonds name. And Wayne might go, since THEY ALWAYS dump salary. The Flyers haven't tried to be a premiere team in a long long time. Thank you comcast. yeah, hope that new scoreboard brings people back.",0.9832
849,Market could be worse than yesterday,-0.4263
850,Comcast stop ripping off your own customers and stop ripping off your business partners like TiVo patents infringements like it's no big deal time to pay up Comcast time has come for how lousy you treat your own customers who are cutting the cord and thinking you are God not wanting to pay for the use of patents,0.3658
