,Recent headlines and conversations for PG,Polarity
651,MO is much cheaper than PG,0.4335
652,I PORMISE EVERYONE WE WILL COVER AT END WE WONT GO 119 AND WE SAFE TRUST ME U WONT SEE 119,0.8391
653,P&G's dividend is not keeping up with the price of the stock. Needs to be over 3% for long term investors.,0.7221
654,Hope Mr. Taylor makes the price of PG stock soar like his salary!!!,0.8692
655,I make more moey on my checking account. Disgraceful.,-0.214
656,PG is down 5.15% to 115.39,-0.2462
657,"Low Interest Rates are P&Gs only friend. This is only bought for the Dividend. People are willing to buy this at a higher price just for the dividend. If the 3Rs keep their Oil prices rising, that has to cut into profits.",0.938
658,"I have worked at P & G for almost 22 years and believe me, quality of product is very important.Perhaps there was an unforeseen issue with the formula that developed on the shelf. Please call the 1-800 number and they will do the appropriate follow ups to make this right.",0.7327
659,Stay away from Harrys Razors they ran an anti-Man ad in Decemeber attacking masculinity. You can see it on their twitter. Seems Gillette got some of their quotes like Boys will be Boys from there.,0.3444
660,Interesting investigative piece looking at a short selling group that have scammed investors out of billions. It’s a must read: https://stockmanipulators.com/moez-kassam-and-anson-funds-a-tale-of-corruption-greed-and-failure/It looks like the hedge fund mentioned is attacking their site so if it’s down you can use these links from the internet archives (they are a bit slow but will show): https://archive.st/v3ix and https://web.archive.org/web/20200928200023/https:/stockmanipulators.com/moez-kassam-and-anson-funds-a-tale-of-corruption-greed-and-failure/,-0.1171
661,When I started researching PG it jumped from $70 to $127. Since then it has been a roller coaster.,0.4867
662,Consolidating to 133-134? Will be temporary,-0.1306
663,What should we be outraged about this week everyone? I need something to boycott!,-0.5573
664,"I am never switching from TIDE. Tide cleans clothes much better than the other stuff. One WMT associate was trying to give me a coupon good on something--- think it was Isil. I told the person it was a German product. I came home, researched it and it was made by Dial but it was owned by a German company. The next time I was in WMT I informed him that I wasn't buying a German product. A vendor I know well said WMT got together with the company to come up with a product to compete against Tide. Well, I don't think it works. I don't shop Aldi and I don't buy German soap.",-0.1985
665,"Awesome day for PG holders. One day I will buy in, but until then, happy for all PG holders!!",0.8601
666,"PG seem to alternate between sitting in the doldrums and moving forward, depending on the risk-on, risk-off mindset of the market. It's a comfortable position to put money into.",0.299
667,PG is down 5.04% to 111.53,-0.2462
668,102 at close!,-0.1531
669,"Expected move of $2.50 based on the options. So glad my strangle did not get filled yesterday. PG seems to always move beyond the implied amount. Market Makers getting burned today,",0.645
670,Too close to all time high....PG looks like a survivor from corona.,0.6243
671,"The PG executive who is in charge of this PG division marketing is Pankaj Bhalla... Born and raised in India.Did all his college in India, then worked with PG in India, Dubai UAE, Switzerland for eight years.He only come to live in the USA in July 2012...So his entire knowledge of males in the USA for only 6 years has led him to produce this pronouncement that American males are bad... especially white males.. They do terrible things like BBQ... stand around while children fight..This guy and PG can take their anti-male stance and ship it right back to India.... where women are gang raped and molested on trains and buses... Where tens of millions of Indians are deemed ""untouchables""... lower caste.How in the world PG let this guy produce such a hideous ad is beyond belief.Boycott ALL PG product until and unless they issue a serious apology to all American males.",0.6157
672,Typical random comment section on their ad:https://i.postimg.cc/65PCSpQQ/Gillette-Backlash.jpgGo see for yourself. https://www.youtube.com/watch?v=koPmuEyP3a0,0.6114
673,bout damn time...,-0.2938
674,"LOL at the P&G Kool-Aid that you longs are buying on Gillette's $8B writedown.From the 2018 year-end annual report:""Indefinite lived intangible assets and goodwill are not amortized, but are tested separately at least annually for impairment. ""As of year-ended June 30, 2018....from the annual report (form 10-K filing)""as well as the related Gillette indefinite-lived intangible asset cushion, have both been reduced to below 10%, both due in large part to an increased competitive market environment, a deceleration of category growth caused by changing grooming habits and significant currency devaluations in a number of countries relative to the U.S. dollar that have occurred in recent years""The foreign exchange nonsense that the CEO spouted is dubious at best for the $8B writedown. The auditors would never have cleared an existing impairment of $8B that existed in 2005 from ""foreign exchange"" for the 2018 statements. The bulk should have already been accounted for as implied in the 2018 note since the auditors were are of this significant adjustment....and you won't accumulate $8B of f-ex on goodwill in a year.It's clear that something else is recently plaguing Gillette.....now what could that possibly be?!!?!?",0.984
675,"the gillette razors have been found to be tainted with bacteria that causes sexual diseases and several men in Delaware are in the hospital with the disease, If one of them dies there will be a huge lawsuit.",0.7499
676,"FAST MONEY Guy Adami commented on PG and said ""I don't know why anyone would want this at 22x forward earnings!! MACD line crosses down today possibly............watch for selloff HARD at the end of day.",-0.5242
677,excellent shorting opportunity,0.7579
678,Morgan Stanley lifts PG to $111 https://seekingalpha.com/news/3446496-morgan-stanley-lifts-estimates-procter-and-gamble,0.2313
679,just keeps slowly going up...,-0.1485
680,"This price is a gift to the longs. Time to buy into $PG as it touches down to the 50 day moving average. Market's over-reacting to Peltz's sale. Consider, he only sold 2M of his 32M shares. He's just taking some profits.",0.931
681,"All time hight, and better on the way...",0.515
682,"Man, if this stocks splits I'm going to be up HUGE! Split the stock already!!!",0.835
683,Upgrade soon,0.1495
684,upgraded,0.0
685,Bought more at $130.78,-0.0068
686,https://www.barchart.com/stocks/quotes/PG/opinion,0.0
687,"SPLIT,,,,Babyjohns-Oh Baby 3-1,,,Here We Go,,, Break Out the Blow-",0.2724
688,Manipulation at its finest ! Lol  onto that game going green,0.482
689,Too bad could not hold near high - good enough,0.3298
690,"Slowly but surely returning to $125 where it belonged before the COVID craze.How many people here bought at the top of hysteria at $145 and then doubled up at $135 because it “had nowhere to go but up” ?The good news is, P&G is not going anywhere, so your grandkids will eventually recover the losses.",0.2456
691,"buy and hold, and collect the dividend!",0.1299
692,WOW Back to the same low as ofAugust 2015.,0.5727
693,"Hello, everyone I also bought at $ 135 how many years should I wait to get even? And will it be back to $140? Pls any advice guys",0.4693
694,Fidelity has a stock analyst opinion of 9.1 Very Bullish and Argus Research has a target price of 137. Best of luck,0.9103
695,so much for my safe stock in my 401K-ego driven management-buy buy buy-get bigggggg-spend-sounds like the should be in CA government,0.761
696,An interesting take on how to beat Buy and Hold strategy on PG: https://www.stockmetrix.net/blog/post/061018/super-simple-way-beating-buy-hold-strategy-pg,0.649
697,"dick2 days ago@wooglin unless you’re a long time investor and would love to have twice the dividends???""twice the dividends""???Apparently some people erroneously believe that the dividend amount remains the same, after a split is paid. Yes, as was the case with PG, a dividend increase is often announced when a split is announced. But please realize that the payout is adjusted re the split ratio.PG last announced a 2:1 split 3/9/04. This was the same day it announced its increased annual dividend, with the first quarterly div to be paid 5/14/04Dividend paid 2/17/04: .2275Dividend paid 5/14/04: .252:1 split paid: 6/18/04Dividend paid 8/16/04: .25",0.9823
