,Recent headlines and conversations for PEP,Polarity
588,"Interesting week at Pepsi across the U.S. After being results, increasing the pay of the CEO and taking a U.S. 2018 tax benefit, the company is layoff people across the U.S. One of the over performing operations in the last quarter, Frito-Lay is getting cut deep. Taking the new tax benefits to increase the pay and bonus of the CEO while cutting other employees seems to be the new norm. Then the remaining will get a $1,000 bonus due to the tax benefit. Strange logic?",0.8852
589,Pepsi getting a not some weed business?....,0.1553
590,"Pepsico is now beginning a campaign to alienate half it's customers?So if you want to make a political statement by where you eat... Christians eat at Chick Fillet and if you support bankrupting our country, forcing taxpayers to pay for late term abortions and allowing the elite to break the law without consequence... then you eat at Taco Bell? I sure hope Chick Fillet doesn't serve Pepsi... ""Tea please""....",0.6236
591,Buy buy buy PEP !!!!,0.576
592,Good report. Why the selloff? What did I miss knowing?,0.5176
593,Hoping it dips down to 105 level...will be looking to initiate a position,0.3867
594,Who is LeBron James?,0.0363
595,Buy on the KO induced dip. PEP earnings tomorrow will be good.,0.6585
596,Congrats on Hydrogen Fuel CellsNikola May 3rd looks like PEPSI will announce all Hydrogen TruckingMoving from Diesel to Hydrogen and the entire fleet by 2023 is simply amazing,0.9173
597,I wanted to personally thank that waste of a CEO for espousing political views that have taken 10% out of the stock. Her job is to sell pop and chips and keep her mouth shut. The board has a duty to penalize any bonuses that be may considered!,0.7949
598,Is Pepsi hooking up with CRON ?!?,0.3759
599,Try holding this #$%$ for a year through the most perfect scenario and watch it lay flat. As soon as a vacc is released people will cycle out of defensives.. I?ll prob buy pep then,0.7975
600,"Bout My last bottle of Aunt Jammy Syrup, How STUPID are they to Cave in to Political Correction ! It was an Honer to have something named after our Race !",-0.491
601,They need to start producing their beverages in thoroughly radiated bulk containers with germ proof taps for aseptic storage and dispensing and long shelf life.,0.7583
602,Can anyone help me understand why the forward pe is 23 while the current pe is 15.? The expectations are growth next quarter while the one we are in is negative. Is it a glitch.?,0.7183
603,I must admit I am quite impressed with that raised dividend. Bought more shares on the news.,0.7989
604,Added more,0.0
605,"I have friend who bought 75 shares of Pepsico in the 70's. After three 3x and one 2x splits he now has over 4,000 shares. Not bad.",0.6161
606,I hope there won't be a split the company thing coming up. I like having Pep owning snacks. The snacks contribute a lot.,0.7846
607,This will be up tomorrow wayyyyyyy over sold for no reason,-0.2856
608,Big announcements coming prior to earnings next week.,0.2501
609,Altria is a far better deal than this garbage,0.5556
610,When the sky falls.... People are still drinking Pepsi and eating Doritos watching the NO RECOVERY!,0.5216
611,Bought back in 100!shares today will sell half at 150 or above,0.4732
612,why is Pep going down?,-0.2037
613,"""PepsiCo announces rebrand of Aunt Jemima as Pearl Milling Company""Just another reason not to own this company.",0.2742
614,"Pep will have 100,000 workers by June 22,2025",-0.0603
615,Is PEP looking at ACB also? Are the looking at any cannibus company?,0.237
616,"You might be asking yourself.....Is PepsiCo the stock of the past??? I don’t personally believe that,because it’s a solid company with great products. I also believe this stock is will going up at least $5 very soon in a single day.",0.9088
617,Jobs numbers down --Black Rock -Vanguard are selling---Mothers dont let dad take your child to a NBA -NFL game ----NOt----SAFE--- Vegas------,0.8478
618,Milk going to $20 gallon. Use sugar water such as Pepsi instead.,0.1276
619,BP is where it's at!! Nice quarterly dividend too.,0.5978
620,Timberrrrrrrrrrrr,0.0
621,$114 by July 8th,0.0141
622,"This company is not being honest with the public and investors about recent trends in the US market. Sales volume in market is down -3.5% in the last year, and the only reason this company isn't showing negative revenues/profits is because of the price increases they took, generating small +1-2% dollar growth, but which will soon diminish and lap in coming periods (they can't keep increasing prices beyond inflation; that's not a sustainable strategy). Moreover, if you removed their new Bubly brand (which initially did well, but is hitting a wall), their drop in sales volume as a company is even more dire. The US market is finished. Consumers and young Americans are rejecting carbonated beverages and unhealthy sports drinks like Gatorade.",-0.5834
623,And we are munching on Doritos and Lays,0.1043
624,In my opinion Pepsi will benefit more than Coke by getting into the Cbd infused area because Pepsi sells both beverages and snacks both of which can be infused and even be consumed at the same time.Coke only sells beverages.,0.6196
625,get ready for another beat,0.5575
626,Going to 60$.Stock is finished.Lousy products to boot.,0.0227
627,"Nice interview with Nooyi, for those who either don't look below the quote stats, or for those who might have missed it amidst the wonderful ""sponsored"" content also located below quote stats:https://finance.yahoo.com/news/pepsico-ceo-opens-trump-amazon-103039305.html",0.8864
628,Pep does not do any super bowl ads citing cost and payback but spends millions to prove they are not a racist company. Giving money to racist organizations that burned cities and radical groups who took over city neighborhoods. Pathetic fire the ceo! Replace the bod!,-0.9232
629,"wooglin must be a fat boy, dont get so defensive",0.4554
630,I think pep is being bought out..volume ridiculously high and every seller is being bought at every price. Goodbye Pepsi!,-0.3245
631,PEP could increase HAIN foods celestial teas 10 fold buy expanding it into iced market ....,0.4693
632,Announce a 3 for 1 stock split soon to keep the MOM burn and excitement up. A stock split will attract new investors and keep the momentum up continuously.,0.9143
633,PEP needs to buy NBEV before others do.,0.1806
634,Pepsi we need 4 se I trucks fully packed floor to roof with 32 oz bottles .NOW!!!!!,0.3029
635,PEP is up 6.37% to 119.67,0.1818
636,"Does anyone know anything about a ""plan"" for Soros and Buffett regarding Pepsi ?",0.503
637,Pepsi sales are down across the country so let's target the minorities,-0.1315
638,Woke Kirk Tanner needs to step down!!,-0.4605
639,Today is a day all retail investors should be celebrating.Anyone?,0.0997
640,Was watching Bloomberg tv earlier and an analyst was talking about consumer staples sector getting hit hardest over the last couple months. He felt these are bottomed for the most part and it might be time to start adding. PEP is one of the better ones in the sector. just a byi!,0.844
641,I wouldn't buy in PepsiCo I work for them and they are very shady company. Trust me get out while u can,0.6499
642,So the punks on wall street were selling when the stock was in the 90s last year only to buy it in the high 130s now? That's how these momo investors operate,0.5298
643,"The call % on an increasing strike price is growing, while the put % on said increasing strike price is decreasing. So... this tells me what. The traders are expecting a run, or are the bears pulling it back?",0.5799
644,Heard Pepsi is in talks with HEXO ?,0.0081
645,"With PepsiCo sourcing their products from several key plants in China, including a Frito Lay snacks plant, PepsiCo management needs to come clean and provide an honest assessment of the impact of the Coronavirus on consumer health and safety, plus be honest with investors about the impact of the Coronavirus on sales.",0.9437
646,Down $3.50 in 3 weeks.....Damn,-0.2777
647,NBEV??? There r rumors...,0.2353
648,"""The planned share repurchases for 2021 have already been completed.""Because they think they are undervalued.",0.4593
649,Will be loading up PEP at $122.50-123,0.0995
650,"Get that lady out of there,board meeting can't come soon enough.",0.2329
651,$145+ close tomorrow,-0.0703
652,Selling gonna be tight next week as ex dividend is Wednesday. Also shorting and selling should subside as shorts will have to pay longs dividends if they hold on to the stock lollllll,0.7205
653,"Just wondering if PepsiCo would consider splitting again. They have in the past,at least 4 times that I have recalled. I look at the potential with this great company and there brands and see the stock going up and up as the economy gets back to business.",0.8495
654,Will Pepsi get into the Hard Seltzer business?Everyone else is jumping on the bandwagon....who ever survives will win big.But you have to be in it to win it.,0.7832
655,You gotta love PepsiCo;Growth EPS beat Guidance raised Stock buybacks Quarterly dividends ,0.7924
656,That Aunt Jemima renaming is guided by FEAR in times where POLITICALLY CORRECT is king... Pathetic. Reread 1984.,-0.8624
657,"The market is giving you a gift at$130. Don't miss this opportunity boys and girls. This is one of the greatest companies in the world, with great fundamentals. Will be at $150 before you know it.",0.9609
658,Come on BOD. Get rid of Indra. Her politicalcorrectness stance on issues was uncalled for and dumb. She is paid far too much money for that junk. Priority should be for the shareholders.,0.5734
659,When will the next NFl BLM riot hit----will the public buy your product--- Mothers dont let dad take your child to a NBA -BLM -NFL game - not safe----Vegas,0.5181
660,"How can you call a product maple syrup when there is not one drop of REAL maple syrup in the product READ the label. Aunt Jemima's First 4 ingredients,,, liquid sugar, water, cellulose gum, natural and artificial FLAVORS, and sulfates Not one drop of REAL maple syrup. Its chemical stew. Renaming the product to be politically correct isn't going to change the product.",0.7028
