,Recent headlines and conversations for WMT,Polarity
961,"SHEP. HERE........................... There is another good article on WMT by Motley Fool on how they will grow the business. The operating margin should increase 20 basis points this year and organic sales will rise. WMT is where America shops. The grocery pickup is so popular that when you are doing your own shopping, there are several associates doing shopping for about 6 or 8 people at once. I think the cost of that is offset by self checkouts. In my supercenter, I think about the only real cashier is where the dumb bunnies can buy cigarettes. The other day there were about 2 people waiting for a machine to checkout and I bet there are about 30 machines.And there were at least 4 doing grocery pickup with a cart that has bins for about 8 people. They are busy",0.9814
962,"Larry kudlow prefers harder more meaty drugs likemeat based cocaine, and meat vodka full of methane gas, if possible, Judging by his rant against 'plant based beer' that he says Joe will force on America.",-0.0382
963,"“You cannot go to a 7-Eleven or a Dunkin' Donuts unless you have a slight Indian accent. I'm not joking.""",0.0584
964,"The most people crossing the border in 20 years is happening NOW, not during the last 4 years.Secretary of Homeland Security Alejandro Mayorkas placed the blame for the current influx of migrants on the southern border at the feet of the prior administration.",0.0583
965,$6 Trillion for shovel ready jobs? Where have I heard that before?,0.4659
966,Did you bought the dip? we should see this up by Thursday pay day at Walmart.,0.6381
967,"SHEP. HERE........................... The low is in and with the possibility of Flipkart coming public someway, that will be a big chunk of cash. If Penystoc really thought it was going sub 100, he would have held his short instead of closing it on the day WMT reported. He lost out at LEAST 14 points closing on that day. Spring clothes are showing up in the stores. I figure people are hungry for shopping.",0.1403
968,Weakling!,-0.3802
969,The President will address the Nation at noon today regarding the Cyber Attack.,-0.3689
970,"Ain't it great!? A good chunk of that fresh ""stimmy"" money about to be funneled into American households via the $1.9 trillion COVID-19 relief bill may find its way into the stock market, pontificates Goldman Sachs.""We expect households will be the largest source of equity demand this year,"" says Goldman's chief U.S. equity strategist David Kostin. ""We raise our household net equity demand forecast to $350 billion from $100 billion, which reflects faster economic growth and higher interest rates than we had assumed previously, additional stimulus payments to individuals, and increased retail activity in early 2021.""Goldman's latest research shows net U.S. equity demand among households reached $307 billion in the first nine months of 2020.",0.501
971,I do not get why WMT price have been much higher after hours recently. Any thoughts?,0.4081
972,"Man, sure is nice to see Joe use the National Guard to keep the criminal element down.",0.7167
973,What do you all think about walmart reducing their cash registers and transitioning to mostly self check outs?,0.4111
974,longs rejoice in a dividend but lose 20 times as much in the stock price --face facts WMT has an appointment with 99 bucks,0.1476
975,As i mentionedI am a buyer at $120,-0.1908
976,"“What does Michael Cohen know?” Posted interesting article with that title, but unfortunately Trumptards had it deleted.",-0.0364
977,"Anthony, your issues cannot be resolved on a stock mb. Refrain from the political propaganda and keep this board to discuss WMT.",0.2491
978,"Uh. Someone forgot about a $2 trillion dollar addition to our national debt after what’s his name was inaugurated. SMHJoe9 minutes agoAs of Dec. 31, 2020, the national debt had jumped to $27.75 trillion, up 39% from $19.95 trillion when DJT was sworn in",0.34
979,"Wally Mart recovering nicely today. Seems the astute investors are taking a pragmatic approach to Walmart.Inevitably $145 is right around the corner as is another dividend is issued to shareholders in two weeks. Record earnings report May 18th 2021 very well could catapult Wally to $150.00 per share. It's going to be another very busy Friday, Saturday & Sunday @ Walmart bric n mortar and ecommerce",0.9344
980,Vaccine rollouts a success and consumer sentiment will soar this Spring. Good times ahead.,0.9368
981,"@ HOME DEPOT YESTERDAY, NOW HIRING BANNER OVER THE FRONT DOOR, LAZY PEOPLE DON'T WANT TO WORK.",-0.3617
982,MAGA says Joe will take your hamburgers.,0.5403
983,"Kristol warns that “a dangerous, anti-democratic faction” of the Republican Party “is not committed in any serious way to the truth, the rule of law, or the basic foundations of our liberal democracy.”",0.2699
984,They say this coronavirus is going to set some people back generations. Some are saying they will never recover.,0.4293
985,in the markets we have reached a Nash Equilibrium--- for those schooled in game theory you will understand those who are not will soon be schooled,0.286
986,WMT seems to be fading......whats up?,0.1872
987,"I am up by $250 Million since March 2020 thanks to the US Government and the Stock PUMPING Festival in the US that has started in March 2020! NOBODY Needs to work anymore! JUST BUY the US Stocks to get 300-400% RISK-FREE RETURN in a few weeks! THE US STOCK MARKET is a FREE MONEY ATM! BUY STOCKS AND GET QUICK RICH! Everyone will be a BILLIONAIRE! Even Janitors will have at least $50 Million in their Broker Accounts! EVERYBODY IS ALL IN! THERE IS NO RISK OF LOSING MONEY! 2-3% DAILY CAPITAL GAINS is a NEW RISK-FREE RATE OF RETURN Guaranteed by FED!Buy the US Stocks at these INSANE LEVELS TO GET QUICK RICH! Nobody cares about Absurd Valuations!EU, Russia, China, Turkey, India vow to create alternative reserve currency to ditch the US dollar, as the US Government continues to Print unlimited Dollars to PUMP the US Stock Prices artificially! DESPITE Tanking Corporate Revenues, ABSURD Valuations, Record Corporate Loss, Record high Corporate and National Debt, Record Stock Dilutions, Collapsing Economy, Pandemic, Upcoming and Ongoing wars, Political polarization, limited real resources, intensive competition drying growth opportunities, the US Government continues to PUMP the US Stock BUBBLE artificially! Everyone knows that the US Stock Market is a Fraudulent system! It will COLLAPSE BIG TIME very soon!The US Government is PUMPING Oil Prices artificially, DESPITE Shrinking Demand and Exponentially rising supply! Oil price went up from $1.00 to $60.00 in no time FOR NO REASON, thanks to FED. Soon, Oil will be USELESS and WORTHLESS, but the US Market Makers are seeing commodities as PUMP and DUMP Schemes!!!$AMD $NVDA $AMZN $AAPL $SQ $SHOP $SNAP $TWLO $CRM $ROKU $ADBE $DB $BAC $JPM $MS $GS $TWTR $TSLA $IBM $INTC $MSFT $GOOG $LMT $BA $TXN $NXPI $LRCX $NKE $DIS $EBAY $X $MA $V $S $T $F $GM $NFLX $CSCO $CAT $MMM $SBUX $TGT $WMT $ATVI $EA $TTWO $MCD $AVGO $JNJ $BIDU $BZUN $BABA $MU $AMAT $QCOM $WFC $BBBY $PFE $GE $WDC $BLK $KO $UA $ABBV $GILD $BB $ORCL $RH $KEM $IQ $GRPN $PYPL $MA $MOMO $JD $WBA $CVS $FB $W $BBY $SKX $FL $EFX $ETSY $W $UNH $SAP $GPRO $KHC $DPZ $PEP $LYFT $UBER $BYND $ZM $OLED $XOM $CVX $DAL $UAL $AAL $LUV $SAVE $AXP $SPCE $NCLH $CCL $NKLA $NIO $XPEV",0.6518
988,"Joe Manchin says he’ll put Infrastructure on McConnell and the Republicans. If they don’t come to table, he’ll prevent its passage through Reconciliation. No more free rides.",0.8105
989,"Nearly one year after protests that rocked America’s cities and helped propel JB’s ride to the White House, Black Lives Matter activists aren’t the Washington power players they envisioned themselves to be.The JB administration has neither granted them a meeting months after they requested one, nor have any names of activists been listed in White House visitor logs.",0.8572
