,Recent headlines and conversations for HD,Polarity
567,How about all those people here who sold out at $260?,0.2778
568,HD will have rocking sales revenue and earnings next Tuesday!!! They never closed their stores during the COVID-19 pandemic!!! GO NVDA GO!!!,-0.645
569,"The free carpet installation is awesome. Here's how it works. There is a secret, underground group of independently wealthy illegals that drives around installing carpet for no charge. It's their way of paying back the gringos who have been so accommodating. The rusty, decrepid vehicles and the ten to a house lifestyle are simply a cover up. Most of these guys are secretly billionaires and don't want anyone to know it.And, the savings are real. These guys pay their own supplies, salaries, vehicles, taxes, helpers, insurance, gasoline, etc etc etc just so HD customers can save that much more money. It's a great, no-strings-attached deal and the illegal billionaires are happy to do it. Everyone wins.",0.9864
570,$300 Plus...2021,0.0
571,Look at the five/ten year performance of HD. The PE and growth and dividend. Own this stock forever!,0.7787
572,Ouch,-0.5371
573,300 by the end of July!!!,-0.264
574,hd the most stable stock ever cant order wood online ,0.1288
575,DOUBLE OUCHES!!!,0.4752
576,Same basic price today it was when I bought in early September - I was hoping for better performance. Considering getting out since I do have some HD w/ in a few ETFs.,0.8461
577,"Three HD's within a 20 mi radius here in the hardest-hit-by-Covid NE. Pulled into one, parking lot full, signs posted for hiring. Ditto #2, same at #3. No denying the visual evidence. Regardless of unemployment numbers, customers will still repair their dwellings. Longer times at home triggers the impulse to improve. And if we do get the second wave, they are well positioned for online purchases and curbside pickup. Based on the technicals and hi market volatility, looking for a trade to US$280 by year's end.",0.502
578,So this dropping because analysts on the call were relentless with questions pertaining to online (Amazon) competition? Even though it's have no impact. Gotta love playing the market.,0.5544
579,I added some just under $279. If Cramer says wait you buy lol,0.7147
580,Home Depot or Lowe’s?My opinion is Home Depot but who cares about my opinion.,0.7874
581,"Hahaa... about to take a massive drop. A drop that you will need a flashlight to find the bottom of. By the way, most horribly run stores during this pandemic. I walked into three different stores, one I almost hit the old dude working there. They had every exit blocked off and as I am 5 steps from being out the building he tells me, sir, walk to the other side of the building to exit. The stores make no logical sense, seriously. As poorly run as can be and all anyone was buying was little stuff. No big sales, no contractors. Looking forward to the drop. I am short and won't be buying even remotely close to the 2's. Watch and learn kiddies....",-0.7451
582,$170 was a major support level to have been broken. Could be severe trouble now.,-0.5464
583,hd going back to 228,0.0529
584,thank you for more shares,0.6173
585,Lots more downside for HD,-0.2407
586,"Wow! Now they are Pointing Fingers at each other. The three leaker Lying egg heads are getting real nervous, different answers spewing out all over. Say what ?Obama spymasters point fingers amid Russia probe review: ‘Throwing each other under the bus’ AJ Bill Barr will get to the bottom of their pack of lies. \https://www.foxnews.com/politics/obama-spymasters-point-fingers-amid-russia-probe-review-throwing-each-other-under-the-bus$HD $PFE $NYT $BA $F",-0.599
587,I stand with vraiphil.,0.1265
588,"Remember folks...ALWAYS TAKE PROFITS greed does not pay. Market runs up,then they short is back down, very few small time retailers get out alive.",0.3423
589,"Get out now, market going to RED",-0.2667
590,Gaps are full this looks like it’s ready to move. 300 here we come,0.7913
591,"the problem is that this is pegged to Lowes stock, and we all know how they are doing. It is hard for HD to move on its own with LOW scrapping the barrel everyday.",-0.5056
592,"Bought 100 shares for 39.00 about 20 yrs. ago. Is it time to take my 21,000 profit and move on or just sit on it. Obviously I don’t sell often.",0.8314
593,Gotta love getting the dividend reinvestment statement!,0.7432
594,Expecting 5% in green Tom!!,-0.176
595,so HD couldn't predict the future so gets bopped LOL Picked up some more!!!!!!!!!,0.7751
596,Buying this dip. Free money,0.7538
597,Any idea what the dividend increase will be????,0.5536
598,No guidance again going down,-0.4465
599,let's keep this gain up we will be back at high and pass it,0.8134
600,"Big gain today, waiting for tomorrow!!",0.6996
601,Dip not even big enough to buy. Will recover in current quarter.,0.3716
602,"I want to know who, exactly, called for the boycott.",-0.0493
603,Only 10% or so below 52 high. Back to boom times.,0.3607
604,Worst case scenario...drop below 180 ..then steadily back up to 200...,-0.3811
605,APPLIANCES THAT'S WHERE THE MONEY IS FOR HD...NOW GONE,0.0003
606,I can barely hold the pant loosely,0.0026
607,"I do hope the $203.00 level is not smoke & mirrors. I have seen HD shoot up into this area several times, just to fall back $15.00. I honestly feel that the day trader groups see the big #s and sell out for there profit. It is odd to me that these people may buy 500 shares @ $190.00 per share. That comes to 95K. to me this is a lot of money. Something to think about, just leave the stock alone & put it into a DRIP. In the next 2 years you would see even more money. HD pays great dividends and seldom loses any money for anyone. I got into HD in 1989. I have never touched the money. It is now worth 8 times my initial investment. If you want a nest egg for the future, try it, you might be very happy",0.9851
608,Home Depot is up 4.92% to 239.15,0.4181
609,wtrh july 6's .30,0.0
610,it will only goes up if it was a bad earning?,-0.3788
611,best of my bunch so far today,0.742
612,I'm hoping for a pullback after earnings to buy more shares. Up here at $190 I just cant justify adding.,0.8434
613,"""U.S. housing starts rise; single-family segment still weak""Reuters ReutersDecember 18, 2018The devils in the details first they make last months number negative to make this one look positive thenthe single family numbers are hidden and fell big... Beware pump and dump today !WASHINGTON, Dec 18 (Reuters) - U.S. homebuilding rebounded in November, driven by a surge in multi-family housing projects, but construction of single-family homes fell to a 1-1/2-year low, pointing to deepening housing market weakness that could spill over to the broader economy.The report from the Commerce Department on Tuesday also showed housing starts fell in October instead of rising as previously reported. Underscoring the housing market weakness, single-family home completions dropped for a third straight month in November to their lowest level in more than a year",-0.4828
614,RDUNCE I ALMOST SHED A TEAR FOR YOU TODAY POPS. PICKING THE RIGHT DEPRESSED STOCKS AT THE RIGHT PRICES THAN PANIC SELLING!!! I HAVE TO LEAVE THIS BOARD NOW I AM SO SAD FOR YOU!!,-0.792
615,Home Depot's sales must be through the roof after all these hurricanes especially from home insurance.,0.4917
616,Those wildfires in California are going to create an awful lot of sales at Home Depot and Lowes down the road. Worst disaster in their history.,-0.8809
617,"This stock is up $57 bucks, over 30% off those lows on March 20th less than a month ago. Anyone who works there (my brother does) knows its packed as people staying home are doing all sorts of home improvements, gardening, cooking at home, etc... There earnings numbers are going to be good. Just like the grocery stores, seed companies, nurseries and a few other sectors. Good stock to be in over the rest of this year....at least.",0.9811
