,Recent headlines and conversations for ADBE,Polarity
847,"UBS has some pretty uncannily accurate predictions to their credit. They've consistently turned billion dollar profits during quarters when everyone else was down. Over the past decade, people suspected UBS and attempted to ensnare UBS traders with investigations and accusations of insider trading. To date, none bore fruit. That said, the one real eye opener was when Goldman Sachs and UBS engaged in lengthy suits and countersuits for the theft of proprietry ""trade secrets"" and the theft of key programmers for their teams. It turns out that the 2 people in question were leading edge programmers that had come across a genetic algorithym capable of detecting earnings results before they actually came out - and they made billions. Now days literally dozens of research teams across the industry employ quant analyisis utilizing the latest in AI (genetic algorithms) to detect moves before they happen. Know this to be true (and it is), there is no way in hell I am going to go against UBS when 4 days before ADBE is set to reveal their 1st quarter numbers come out with an upgrade on ADBE and raise their target price by some 25%, We will all know for sure by late Thursday but I'll tell you one thing; there is no way in the world I would bet against that UBS prediciton. They are the best in the world.",0.945
848,259 soon,0.0011
849,"Over all market is down, also effected by ZM and CRM tech, but will be fine on earningBuy now and smile Tuesday.",0.6261
850,NASDAQ and DOW futures are all dropped in after hours....,-0.3337
851,Most of my retirement in AAPL and ADBE!!!!! I sleep well at night.,0.6241
852,hot market,0.0706
853,"Oops, turns out, ADBE will be red tomorrow",-0.1793
854,this stock is a pig. sell before Biden gets elected and thank me November 4th,0.4098
855,AMC being bought by NFLX. NFLX everywhere.David Kerr targeting $760 price target for NFLX!,0.4785
856,glad i waited til the last min and didn't sell. bc I wanted to hold this til tomorrow.,0.4537
857,Adobe is up 5.18% to 477.53,0.1518
858,This is hitting $478 post,0.0441
859,Think it goes up and today and tomorrow to a slight pullback at ER and then back up next week?,0.841
860,Nice $8-10k in the morning hopefully! Never know now a days!,0.7427
861,Big beat,0.3104
862,On a good ER she's gonna spike in the 190s before consolidating.,0.7627
863,ADBE==market perform==sell any strength!Target $250!,0.1747
864,"I like and own shares of Bridgeline Digital (BLIN), a tiny company in enterprise software. BLIN is trading at ev/ sales of only about 0.55 as it moves to subscription model. BLIN is worth consideration. They have good technology, but not enough scale. Bridgeline’s CEO Ari Kahn, Univ. of Chicago graduate and PhD in computer science, sold his previous company to Oracle. FYI - Univ. of Chicago alumni have a vast network of influential people (Microsoft CEO Nadella, Apple Board member Wagner).",0.9715
865,"Hold ADBE, $200 should hit by years end.",0.0131
866,Going to turn RED AH as I expected.,0.0256
867,ADBE is rocking on extremely strong sales and earnings in their quarterly earnings!!! This stock will reach $ 320.00 in the next 30 minutes!!!,0.748
868,"Great company, great numbers! Bright future!",0.9211
869,"ADBE to close at $ 260 today, and open at $ 270 tomorrow.",-0.0582
870,"Adobe is offering 90 days free for their Creative Suite subscribers. We just redeemed ours and will not have to pay anything now until July. As a person whose in a company raved by the virus where business income is down to basically crumbs this is a great help and we will take it. But as an investor, will this cause them to miss the numbers badly this quarter once everyone gets their credit?",0.8505
871,Weak af,0.0962
872,beat or not. Adobe always goes down after earnings yet continues to climb yearly.,0.1242
873,well looks like i am getting ready to sell my stake.,0.8188
874,This stock has now only moved up 10% since before the COVID crash. Time to buy?,0.302
875,Zero catalysts is a poster boy of bubble stock,0.3771
876,Adobe stock upgraded at Stephens after earnings,0.1753
877,Adobe target hiked to $315 at Jefferies after earnings,-0.0946
878,Until the Trump Ministry of Market Manipulation releases its next pump and dump alert stocks will drift lower. ADBE IS AN ACCUMULATE BETWEEN 240 AND 270.,0.2227
879,Looks like my predictions have been offset by the current broad market selloff. I'm taking it as a gift and just bought more. You've got to see the correlation as to why the market is selling off (Covid19 is surging where lockdowns were lifted) and the very catalyst that drove much of the world to the Adobe Cloud Suite of Productivity (from anywhere) Tools. THE FUTURE FOR ADBE LOOKS VERY BRIGHT TO ME!,0.8723
880,When is the greatest time to get?,0.6587
881,Be ready for Thursday: it’s a great company,0.7828
882,All time high before next earnings. What a gift at $454 this morning. Bought 1000 shares. Come to daddy !,0.7933
883,Not sure why?,0.3916
884,Next decade for Adobe is going to be EPIC! Adobe is the Epicenter of Digital and Creativity!,0.3864
885,"Everything in the past two to three weeks has been low volume that's a good sign. If you take a look at its fundamentals their solid. Technically speaking take a look at their chart. It's forming a cup and handle and right now it's just formed it's handle. Expect this to shoot up especially if it gets support from the market. If I'm long or anyone else I wouldn't get out. This thing is surefire expected to shoot up past its high. To boot if Trump wins the election which all signs point that he will, even more guarantee to go up",0.9665
886,Pretty encouraging article. Golden Cross happened again this morning.,0.8884
887,Workfront acquisition?!?,0.4138
888,"Earnings eruptions trade, our #1 day trading setup, is off to a nice start this earnings season. Learn a great strategy for trading earnings - https://youtu.be/f4UtKIpt9nY",0.9113
889,Just sold everything at 265 will buy back wen the dust settles,0.1673
890,ADOBE is a Rocket and I'm riding along. I'll be touching the Angels at this rate ADBE FOR LIFE,0.619
891,"their at a 40 forward pe. people are on here saying it undervalued. whats it worth, a 100 forward pe. you do know their growth rate has been slowing the last year right. same with salesforce. it wasn't enough they doubled in the last year right. there's some losers on here pushing the wrong metrics. adobe is expensive as hell. id rather invest in amazon given they just one the union battle.",-0.7741
892,An enormous beat actually,0.2608
893,Option expire tomorrow. It should go back $270 Friday opening bell,0.2707
894,"This is EXCEPTIONAL news for the entire ""STAY AT HOME"" Stock sector.THINGS ARE BOOMING!!!!! (thank you Southern States for lifting your lockdowns WAY TOO EARLY!)",0.8809
895,20 more,0.0
896,Ready for free fall,0.5988
897,target $250==It is laggard!,-0.2023
898,"ADBE CC product suite is at the heart and soul of the global, cloud based WORK FROM HOME PLATFORM.What better vehicle to own during these unprecedented times of ""social isolation""?",0.8985
899,"Market cap around Software as Service is now 15-20 time revenue and 50-100 time earning.What's even more funny is everyone forced to use technology in last 6 month. what that mean? We have hyper adoption to technology but more important no one left out.If there is trend that everyone buying bed, what happen after everyone got bed. Specially what happen when everyone get bed almost same time. Next year sale would not just stop growing, decline by large.",0.4567
900,ADBE is not NFLX which can fly to sky after reporting solid ER.I don't like ADBE at all!,0.6538
901,Anybody know why it's down $3 in the pre-market?,-0.2173
902,Just got a hot tip from (http://stocktip.xyz),0.1849
903,"ADBE showing some nice strength this past week. Is this the beginning of the breakout we've been waiting for or a continuation of the typical 6th month pattern? An outstanding quarter, some recent upgrades, an overdone consolidation period.....",0.9619
904,shld go up after hrs and pop tmw morning...,0.6449
905,"Apple had great earnings, but not so positive guidance brought the stock price down.Opposite adbe, very good 2019 guidance and only missed a penny!Up $20 tomorrow! Short Squeeze!!!!",0.9004
906,I sold tsla for the adobe's earnings! I hope I didn't make a mistake!,0.6923
907,Longs?!!!,0.0
908,Wow NVDA,0.5859
909,Adobe must cut costs and fire the CEO. This company is in stagnating mode. Giving hiring preference to Indians and Indian relatives backfires.,-0.2968
910,Adobe reached an all time high at 475.33,0.2959
911,ADBE selling off at low of ATR of 11ish. I'm a buyer here.This company has only gotten better and stronger as a result of COVID.Long and strong at 426,0.6641
912,Some trader bought $6million puts on this. I’m only in for 1k calls and I’m cringing haha,0.6435
913,I’m in just under $178 guess I should of waited for a better spot. Might sell on a spike then buy back in the drop. I think adobe and oracle go positive after earnings. I like adobe more,0.8665
914,Look at Coupa. Down after earnings Monday up 7 percemt two days later,-0.0188
915,Ya I would like ABDE to be above 480 by Jan 15th... got greedy and didn’t close my position.,0.616
916,go go go,-0.0034
917,"Asking every company I am a shareholder, to ask themselves, what can we do to help our country and frontline healthcare workers. Adobe now is the time to join the fight",0.7707
918,"It will rebound this just the typical sell on news and ask questions later , they started selling immediately without hearing the full numbers",0.775
919,Adobe's stable revenue stream is allowing the company to keep innovating. It's very difficult to be a media professional without Adobe because the software is so widely used.,0.5783
920,See you guys at $225 - $228 Looks at the chart guys!!!!,0.451
921,Oversold territory now!,0.1079
922,Adobe is up 4.91% to 508.23,0.1518
923,fake forecast,-0.5125
924,"ADBE has been consolidating in a wide sloppy base for 6 months. I don't think institutions have built in high expectations going into this earnings report which means we shouldn't see a sell off on results meeting expectations. We might get a rally post earnings if guidance is good. The valuation is a little rich but nothing compared to the stay-at-home places, i.e. ZM and DOCU.",0.7738
925,initial headfake in ah,-0.1711
926,"Doubled up my amount when it was 438 thing morning. Hopefully, I got the timing right for once.",0.687
927,Down another 2%. Should be some support at 145 area (100 DMA). But doesn't look like that will hold given the volume. Next support not until 138. GLTA.,0.8297
928,Long on $appl $adbe $now and $mime Can’t wait to pick up more on the next dip!,0.8024
929,still buying more with rate cut going up to 500 or put your money in oil stocks lol,0.5235
930,Looks like a solid report! As usual the stocks selloff after beating!,0.3625
931,A bit expensive forward PE is much lower than trailing PE and still bubbled significantly,0.29
932,"Adobe is the new Hogwarts of of Witchcraft and Wizardry, https://www.youtube.com/watch?v=xYUbyR2qalg ! Amazing a group of twenty somethings from everycorner of the world creating real magic that leave one breathless. On the campus of Adobe the once impossible is now possible. One can not even imagine the future these young wizards are creating. BEST Sneaks EVER by a MILE, congrats!",0.9724
933,"ADBE has had quite the run up recently. Profit takers can take control for a bit, no biggy! I will just add more",0.7184
934,"I'd buy this here but everyone knows that Shopify will likely come out with Shopify-photoshop and Shopify-acrobat as a compliment to their influencer merchant platform, thereby crushing Adobe in the process.",0.566
935,Is just the beging of the fall guys . Till 1st January 200,-0.191
936,Greatest bubble of all time in this and similar hugh flying stocks. 22 times revenue.,0.5201
937,Good to see ADBE came right back. I see it climbing back and working the $525-550 range for a while. This is a keeper stock.,0.8132
938,no stock is expensive comparing to TSLA,-0.159
939,Beat,0.2047
940,Another 2% drop to start the day. Makes no sense,-0.4903
941,When is Adobe gonna split?? Maybe 2:1 or maybe even 3:1 stock split would be nice. Any news??,0.8551
942,Lower low and lower high so far today....,-0.4807
943,ADBE is down 14.91% to 285.48,-0.2462
944,ADBE is among the most hated sftware stocks due to lacking of innovation!,-0.5609
945,"As you can see technically and fundamentally, as well as from the excessively bright future announced and discussed last week by management - It is easy to see how possible it is that ADOBE make a very nice new high this month. Vey nice indeed!",0.9351
946,200 buckDrop a coming,0.0537
947,"Now put all 3 articles together and read their blog, Adobe is la leading AI platform now...https://theblog.adobe.com/adobe-sensei/",0.3367
948,ADBE is extremely bullish!!! Here We Go!!!,0.4361
949,"Owned ADBE for several years and the ride I've enjoyed is nothing short of a dream. 500 is coming soon. Shorts are advised to cover now...there is nothing to be bearish about on this stock. It has a moat, is COVID proof, and no serious competition in sight. As long as that's the case this stock has unlimited upside. Never too late to own and I've been buying all the way up. Currently have a 230 percent return. $$$$$",0.7905
950,"Don’t forget two prominent analysts downgraded the stock after earnings. BAD, BAD, BAD",-0.9263
951,Good earnings! Will be green tomorrow no doubt,-0.2324
