,Recent headlines and conversations for KHC,Polarity
1208,It’s simple the answer is buy !,0.2178
1209,Starting to get really concerned about what they found in the 1Q earnings. Called the company to see when earnings will be released. They said they have no idea. Did they discover something really bad?? Shouldn’t they let shareholders know what is going on. Good or bad!,-0.4136
1210,"Relax, they report at 5:00 ET.",0.4213
1211,People have to eat. Long and strong KHC,0.7684
1212,"If debt were a relevant thing, the USA would be bankrupt. But its not relevant.",0.0545
1213,Why no dividend increase? August is traditionally the time and results are good.,0.5862
1214,Hurry Buy so when 3G dumps 25 million more shares it won't tank it back to $26. 3G soled the last batch at $28.44 so we are almost to the point they think it's over priced,0.2322
1215,"Warren Buffet just ordered 1,000,000 cases of Heinz Catsup ...",0.3272
1216,"BOYS....{YOUR MONEYNOTMINE}.....AINT REAL SMART. HE SAYS GOLD IS NO HEDGE. 2008 GOLD WAS UNDER 1000. BY 2011 IT WAS 1900. CORRECT DURING THE 2009-10 FINANCIAL CRISIS ...GOLD JUST KEPT RISING. BUT CONSIDER THIS...GOLD MINER KL WENT FROM 18 TO 51 IN THE LAST YEAR, AND GOLD HAS ONLY GONE UP ABOUT 15%. CLEARLY KL BENEFITS AS A HIGH QUALITY EFFICIENT MINER THAST WILL BENEFIT FROM A FINANCIAL COLLAPSE AND ITS COMING....SOON. THE MONEY SUPPLY WAS QUADRUPLED UNDER OBAMA, AND THE EFFECTS OF THAT ARE YET TO BE SEEN. WE ARE SETTING UP FOR A DOWN FALL AND I DONT BELIEVE EVEN THE GREAT DONALD J. TRUMP CANT STOP IT IN HIS SECOND TERM. HOWEVER, HES CLEARLY THE BEST WE HAVE IN AN ATTEMPT TO DELAY IT AS LONG AS POSSIBLE !!!!",0.9964
1217,buy buy buy,0.3739
1218,For the length of virus they should do well. I never saw so much Mac and Cheese stands in supermarkets They can’t keep up with demand.,0.8532
1219,when all smoke clears a couple years from now this will be higher..long term investors will win,0.5081
1220,Hello Khc you had some decent earnings... Wake up and rise from the bed finally.,0.5711
1221,"Billion dollar losses, div cut, sec investigation, lawsuits, man this is some dog.",-0.6995
1222,Anyone see Market Mornings youtube post on this? Breakout Potential?https://www.youtube.com/watch?v=OOCJBlqT9lo&t=4s,0.7504
1223,Buy at the dips and be rewarded....easy peasy,0.1409
1224,BUFFETT CAN JUST RIGHT A CHECK. HE NEEDS NO FINANCING......WHICH PUTS HIM RIGHT IN THE CAT BIRDS SEAT !!!!,0.7285
1225,Who in their right mind would buy this stock just from an SEC standpoint??,0.7532
1226,"you ppl can trade and play little games with the options but the debt, management and competition are taking this lower. did i mention that KHC has MORE debt than SEVERAL food companies COMBINED!!!",-0.8342
1227,I'm in. Yesterday was an exaggeration.,-0.2636
1228,When you add the 31B of debt to the 31B of market cap I don't see any value for this company.,-0.6686
1229,Can someone please tell Buffett to sell his stake in Kraft Heinz so the stock will go up,0.8076
1230,how do analysts with strong buy ratings for khc and other clown stocks always continue to have jobs? If I was THIS wrong THIS often at my job I would not be employed. Isn’t that how capitalism is supposed to work?,0.8107
1231,Interesting Buffet wants to deploy cash and buy a big business .... could he be thinking of KHC since is dropped 30% and they already own a third anyway ? What do you think ?,0.755
1232,Is it OK to put Ketchup on an American Cheese Sandwich?,0.4066
1233,Why are we up?,0.2508
1234,Nice finish!,0.3899
1235,Moving up nicely on this last day of winter.Let's celebrate arrival of spring and blossom.,0.9071
1236,"Buffet and 3G are giddy that the market gave them the opportunity to take KHC private. Max they will need to tender is $40 and everyone will be thrilled. The market saved their investment. And believe me, they know it is worth $60 once they clean it up a go public again",0.9398
1237,Precursor - KHC is going to skyrocket  next week ,0.584
1238,kHC should buy Blue Apron to enter into organic and fresh segment.,0.5023
1239,I trust and believe in Warren Buffett because he became a multi billionaire by looking out for the best interests of the small investor. I also have some waterfront property (really!) in South Florida near Naples that I'm wanting to sell on the cheap.,0.9686
1240,Analysts at J.P. Morgan see the U.S. food production space as a good place for investors to place money amid the coronavirus pandemic.,0.531
1241,I'm out. no sign of recovery after it broke below $25.50,-0.4936
1242,c'mon $30,0.3096
1243,"I may sell at $35.My basis is $25, and this stock should have benefited more from the pandemic considering it had three earnings calls since March with people hoarding food.Meanwhile other stocks have doubled, tripled, etc.I’d like to keep it, but $28 looks more likely than $40 at this point...",0.6866
1244,Oscar Meyer is the best bacon ever,0.6416
1245,https://www.stockprowatch.com/home/kraft-heinz-is-a-good-long-term-investment-if-you-can-afford-a-substantial-piece-khc,0.0
1246,KHC is not one of the stocks that I follow but at a glance appears to be a good value. Considering buying on Monday or Tuesday. Not sure if it has more room to drop before it starts going back up.,0.9276
1247,"This is even worse by keeping the dividend in order to persuade Buffett not leave. That divd factor is the only one reason for Buffett now. But Buffett is KHC’s biggest tool to fool ppl. If no sales, how long and what to support this situation? KHC will dive in even deeper from now on. When the public gets to know the info that Buffett already escaped, it’s been at least 1 month delayed. Before that point, you’ll see KHC keep declining. After the formal announcement, you’ll see a collapse.",0.1323
1248,so how many shares sold after hours?,0.2368
1249,“Equity Bond” stock.....great dividend and revenue and profit will continue to benefit through next 2 quarters from continued stay at home and more millennials cooking......then management will start buying back shares in addition to paying down debt.,0.9051
1250,"Shorts are scared and desperate, they are going to be punished soon",-0.7653
1251,Don't be scared. $6 to $7 in earnings as per Buffet is not bad. Debt will be paid off. Insiders that wanted big bonuses for their crooked deeds have been caught. Less crookedness will mean better earnings. Don't be afraid.,0.5929
1252,"Director just purchase for $250,000 of Shares. This is good news to me when Insiders purchase KHC stock!",0.9083
1253,So glad to be done with this one. Cost me 20% but my remaining capital is better invested somewhere else. Good luck all. Chances are good now that I am out that it will soar.,0.9747
1254,"Folks as analysts start up grading due to the low valuation and dividend, the stock (KHC) will move higher.",0.4325
1255,"Is someone leaking bad news to Zacks?"" On October 22, 2019 Zacks Investment Research, Inc. downgraded KRAFT HEINZ COMPANY ( KHC) from HOLD to SELL.",0.2956
1256,Another SURGE!!! The growth bubble is finally popping and value is back!,0.8464
1257,Can it get to $60. today ?,0.1155
1258,straddle expected movement for khc after ER is interesting.,0.6728
1259,"while we are indifferent to recent rating releases, it was done in a flurry. ""trading central"" is widely recognized, and often cited in our paid forums and staple newsletter. 1/22, weds, tc downgraded to ""sell."" not good following up with today's, 1/23 ""jefferies"" downgrade. these downgrades are not resonating with the institutionals. and, of course, we are still acquiring khc when price suggests. selling out of our bgs and cpb 2018 and 2019 gave us room to run. fwiw, months ago we parked some wmt and pg. we won't disburse any timely info here, sorry. it's pay to play.",0.9384
1260,What time are they suppose to report?,0.3332
1261,"I’m going to wait until the tide rolls out another 20 percent, then I’m in long-term",0.3264
1262,"Posted by ABMN Staff on Feb 15th, 2020 // No CommentsKraft Heinz logoKraft Heinz Co (NASDAQ:KHC) has been given an average recommendation of “Hold” by the twenty-five brokerages that are currently covering the company, Marketbeat.com reports. Six research analysts have rated the stock with a sell rating and eighteen have given a hold rating to the company. The average 12-month price objective among brokers that have updated their coverage on the stock in the last year is $31.05.A number of analysts recently weighed in on KHC shares. Zacks Investment Research lowered shares of Kraft Heinz from a “hold” rating to a “sell” rating and set a $30.00 target price on the stock. in a research note on Tuesday, October 22nd. Cfra cut their target price on shares of Kraft Heinz from $33.00 to $32.00 and set a “hold” rating on the stock in a research note on Thursday. Goldman Sachs Group lowered shares of Kraft Heinz from a “neutral” rating to a “sell” rating and set a $29.00 target price on the stock. in a research note on Thursday, November 14th. BidaskClub lowered shares of Kraft Heinz from a “hold” rating to a “sell” rating in a research note on Saturday, February 1st. Finally, Deutsche Bank cut their target price on shares of Kraft Heinz from $31.00 to $28.00 and set a “hold” rating on the stock in a research note on Friday.",0.9876
1263,I hope KHC is working overtime on a veggie burger to compete with Beyond Meat.,0.5066
1264,You bagholders have ABSOLUTELY lost your minds!!!There is no way I’m paying $8 for Miracle Whip or $3 for Heinz ketchup when there’s a product that tastes good and has good quality and the same nutritional value at better than half the price of KHC products. I’ve said before and again I will say it again: “KHC is a short until they become competitive in the marketplace and cut that dividend to improve that balance sheet”.There's a reason why buffet doesn’t pay a dividend on BRK shares.,0.9546
1265,If it drops more people will buy.,0.0989
1266,"how's the trust fund web?? you ok? im going to walmart later to pick up some great value products $1 honey mustard, $2 big jar of mayo and $1 bottle of ketchup. if i bought khc it would cost double.",0.9751
1267,Yep things have changed interest rates have dropped greatly from 3% on the 10 year to now under 2%. plus KHC raised prices in Jan and it looks like they stuck.. I don't think I would be selling any KHC stock at this level . both things are greatly going the help KHC,0.9305
