,Recent headlines and conversations for PCG,Polarity
1302,"Some profit taking after a ride is normal. Once it shakes the sellers, the next stop will be $25. There is no good competition and govt needs PG&E to cater basic needs. Long term positive",0.8903
1303,Happy new years to shorts and longs. Everything in life needs balance. Pick a side and enjoy the game. We will see $20s soon. I hope it takes longer to add more shares.,0.9397
1304,"I've been in this stock since July 2019 @$21.25/share. All i have seen lately is up-down-up-down-up-down around the $9.25/share mark. PG&E is doing nothing wrong. In fact, the handling of the fires (that aren't their fault) has been handled very properly. Why are the investors continuing to get punished for this? At this rate, the stock exceeding $20/share is Fantasyland!",-0.1236
1305,"Difference between 2001 and this bankruptcy: in 2001, PCG was only $9B in debt and after issuing bonds to pay off debts, it emerged out of bankruptcy.This time, the liability of PCG plus its $19.35 B in debt make PCG insolvent. There is just nothing left for common shareowners.",-0.5342
1306,"Listened in on CPUC conference for a bit. The public hearing for a bit, each caller gets 3 mins (most went over their 3 mins time limit). There’s about 15 callers complaining n calling for the rejection of the plan. All the callers only have demands like require safe clean energy without increasing rate cost, wants reimbursements for power outage, some even have complaints about Edison n trying to voice their words on the public hearing which have nothing to do with pcg. There’s some group that call in to advertise their group as well. It was a waste of time. But nonetheless all the callers are asking for a rejection of the plan or modification that’ll suits them. The whole 15 callers out of the millions that lives in Cali",0.7972
1307,The last place sports team that finally wins a game.rock it shorts style (more like short school bus),0.7695
1308,"Lots of bag holders being made this week. A lot of pumping and denials, but the creditors will win over fire victims and lawyers that represent them because money talks. Everything is about money. Why get paid 1-3 years from now when you can get paid NOW? GJ Wentworth. It's MY MONEY and I want it now! The lawyers only settled with PG&E because they know litigation means even less payment and a longer time frame. Now that the creditors are willing to pay cash up front for all of it, PG&E has lost. Once that happens, they will need to get something in return, which is massive dilution of the stock via warrants and /or a conversion of this cash into stock ownership, which they'll want 99% of the ownership, wiping out current shareholders. Bye Bye Baggies!",0.9641
1309,Is there a good live feed to follow?,0.4235
1310,i have no doubt that CPUC will approve the plan,-0.2746
1311,This thing will be stuck under 12 until next year. In it for long term.,0.0774
1312,It's tragic that they use a catastrophe like this to raise your power rates so they can pay for the next fire... they should have replaced aging equipment.,0.256
1313,Shorts should go cover instead of posting here,0.1268
1314,"Did any of you longs read pg 49, 50?“EQUITY FORFEITURE”“THE NEW PCG STOCK”",0.4359
1315,"Once again, I'm confounded by why anybody expects this stock to move right now. They had an okay quarterly report in the Fall, got a new CEO, the stock popped into the 12's. So? That's it. Something else has to happen to make it keep moving. Next quarterly earnings report should be in February. If they again make a profit, the stock price should get another slow push.",0.9359
1316,Great! Are we supposed to assume that none of the fire victims have PCG stock? That they lose their homes and retirementfunds as well?,0.3502
1317,"Longs are going to get a nice Xmas present.Subrogation settlement is going to be stamped by the Judge Montali.Exit Financing is in placeFire victims are ready to jump ship to PG&E sideThe story is just beginning, if you are taking profits in this run, it is going to be peanuts compared to what is around the corner.",0.9547
1318,Major fight to break 10 today. Let us hope we break it decisively.,-0.2654
1319,"We have no clue how Newsom will respond, but it would be shocking to me for him to drag this thing out further. He only got involved because he wanted to speed things up, he pushed them to negotiate with the fire victims, and he wasn't happy with the 10 year goal to repair all of PG&Es infrastructure. If he rejects the settlement it only ups the timeline and makes him look bad. The next step would be all the unnecessary court cases and PG&E fighting the bond holders back and forth. No one is going to be able to fix this faster than the existing company. My guess is that he will show concerns about the added debt, but approve with some minor conditions. His safest bet is to fix PG&E by fixing the CPUC.",-0.5477
1320,"Glad to see this resolved. My Dad retired from pg&e years ago. Company filled with good families. I even worked in the Gas Division during college in the early 70's, dug a lot of holes. Also cut down a lot of trees under power lines in the feather river, great summer job. I'm long.",0.9486
1321,Resistance at 17.30...! Break thru and let’s ride !!,0.3986
1322,"Charging PCG $30 for fire exasperated by gusty wind, high temperature, low humidity and dry bushes sets a precedence that no one could run PCG as a profitable company. State takeover will bankrupt CA within 5 years @10B annualized fire damage. Dreaming PCG to go to zero is nothing but foolishness. PCG bankruptcy filing was to protect PCG assets from being taken over by 18000 potential lawsuits!",-0.3871
1323,"Yesterday's ""settlement"" looks like 2.4M shares and there was still a large drop. That should show their resolve and the extent of resources.",0.726
1324,"Mother Nature causes fires, not the utility company.",0.014
1325,Can someone explain to me why the Q has never been added to the ticker A few other companies have announced Bk recently anf the next day the Q was on their ticker but not with PCG WHY?????,0.4411
1326,"This stock was expected to trade irrationally for a while here. PG&E is leveraging, refinancing debt, paying off debt, adding more debt at low interest rates, and setting itself up to operate on all cylinders out of BK with all the money it needs to satisfy all the wildfire claims and operating costs. Taking all the possible hits right now to clear the deck. $9 - ish may be the floor immediately after all of this, but then things will settle down and the journey north for the stock will begin. Considering they were once above $70 and if they have now doubled the shares in this time, we may be heading to $30-$35 in a few years. So anything under $15 with a 5 year horizon and likely dividends in 5 years is a good long-term play. $10 growing to $30 stock value over five years would beat anything a bank could ever offer. “Set it and forget it”. Check back 3-5 years and smile.",0.9864
