,Recent headlines and conversations for BIIB,Polarity
537,"Mr. Market keeps being highly pessimistic about the aducanumab trial results that are expected tomorrow.Having said that, since there are no legitimate (aka FDA recognized) Alzheimer's test(s), that I know of, the results will be subjective at best - good or bad!!",0.88
538,WHO WAS SHORT??,-0.5228
539,"Hey Mike - A couple of weeks ago I posted that - I {agree with you 100%. I too ""don't believe the true cause of Alzheimers has been discovered yet."" Biogen's Phase III trial of aducanumab wont be completed until April/May 2020, which will be measuring the the ""slowing cognitive and functional impairment"" via multiple subjective testing.Hoffmann-La Roche also has a Phase III study of their drug crenezumab, which is due to be completed November 2022.Doubt about BAN2401 is on the rise, so we''l have to wait & see IF Biogen decides to spend the money on extended clinical trials (??)So........... even as longtime stock holder, I feel that Biogen is currently an imbalanced risk/reward investment, and continue to gradually reduce my position on short term bounces.",0.8983
540,This is like the reaction that NKTR got whey announced their results of 214. Market is very irrational.,-0.0518
541,why BIIB down today?,-0.1284
542,Glad I got out of BIIB without losing my shirt. Made very little money on this. I would have gotten killed if I held.,-0.4893
543,"FYI - From the JPM conference.""CEO Vounatsos told an audience his company took “reasonable” price hikes this year, including increases in line with the consumer price index growth for drugs where Biogen has stopped development. According to a note last week from Evercore ISI analyst Umer Raffat, the company hiked prices on Plegridy by 2%, Tysabri by 3.5% and Tecfidera by 6%. Also,Vounatsos said Biogen’s spinal muscular atrophy drug Spinraza generated $1.6 billion in sales in the last 12 months, and that the company has secured reimbursement deals for the drug in 30 countries. Even with the Spinraza launch success, the helmsman said he welcomes new competition in SMA, including gene therapy, as competition benefits patients.""",0.9778
544,wheree is the news.,0.0915
545,If Alex ion is worth 34 billion biogen is certainly worth much more,0.6436
546,"What is being done to Biogen is absurd: wiping off $20B of the company’s market cap because a dream related to a drug in development and miles away from marketing died. Ridiculous! And besides, that dream was expected to die. Not a huge surprise here. The market is ignoring the billions in revenue, profits and cash flow from existing products. Ridiculous!!",-0.7403
547,"Depression and Alzheimer drugs will be fast tracked by May, approval soon after. $400 here we come.",-0.2351
548,$BIIB Target Raised by Canaccord Genuity Buy USD 350 » USD 393 Upgrades Bank of America Neutral USD 230 » USD 360 Upgraded by BMO Capital Markets Market Perform USD 280 » USD 343 Maintains SVB Leerink Outperform USD 342 » USD 402,-0.7509
549,"They haven't scrapped it, they've only delayed it. This is total overreaction.",-0.1509
550,I'm new to BIIB. I'm surprised at the hit the stock is taking today. The Alzheimer drug fail was old news. And the rest of the business is fine. Should one sell now or give it a week for a possible recovery to the $230 level plus? Opinions?,0.9428
551,If JIM BEARS STERNS CRAMER says to buy then be sure to short.,0.352
552,"I would prefer gene therapy stocks such as uniQure ($QURE), as the trial phases have more pronounced results, orphaned drug status, current remedies are quite expense e.g. treating hemophilia a/b @ $270K+/yr, and recent large takeover premiums of this pure gene-based firms (e.g. spark)",0.9372
553,this POS better hold 250 or were in deep sheet.,0.1254
554,Should have sold when it hit $ 409 AH - traded around $ 390 - 405 for a few minutes.,0.4156
555,OUCH!,-0.5801
556,Here we GO!,-0.2722
557,"Well, so much for THAT bump! The buyout rumor giveth, and the reality of no buyout ... taketh away.",0.5715
558,"It's funny always: overdone, oversold, a bargain, wait for a better day when something fundamental changes......better to catch it on the way up then try to pick a bottom......",0.8905
559,NEVER sell in pre market...,0.4208
560,WOW....FDA DENIED!,-0.4926
561,#$%$ company,0.0544
562,Anyone have intelligent opinion on how the stock will react tomorrow?? And for Nov 6 meeting with FDA???So undervalued..,0.7623
563,FYI - Genetic impact on Alzheimer’s (??)http://www.pnas.org/content/early/2018/02/02/1715554115 Saltynacho,0.3316
564,"Clearly if you look at volume of purchase on BIIB is increasing these 3 months upward trend, but the price of BIIB have been hold back. Some hedge fund is toying investors and accumulate a lot of stocks...",0.8375
565,the chart accumation is way down,-0.1174
566,IBIO getting some crazy action lately as well $BIIB,0.2742
567,BIIB selling off hard in AH's. Can't see any news. Down 323 now,-0.4264
568,That mock panel didn’t have a clue!,0.135
569,DCIX news and running,0.2908
570,"Lost everything with my option expiriing today. Huge mistake on my part to have bought this stock. Ioss of 20,000 in one day.",0.3613
571,"*From Biogen Call On Aducanumab: High-Dose Regimen Showed 29% Of Patients In EMERGE, 22% Of Patients In ENGAGE Received Full Possible 14 Doses Of 10mg/kg DosesBenzinga",0.78
572,Sava will win the Alzheimer drug race!!!,0.8574
573,Vanguard Healthcare and Capital Opportunity going to get hit today- Vanguard a big holder.,0.7834
574,"@Traian, how do you look today's DJIA close? Future down 153 pts now...",-0.211
575,Stock is on a steady climb this week for some reason. Need a cure for sleepy Joe.,0.9375
576,Excellent oval base means much more appreciation,0.8569
577,Over $300 by next week,-0.0612
578,BIIB is undervalued so any surprise even slightly should send the stock spiraling. Dead in the water too long imo.,0.1264
579,"Ouch, I just dipped my toe. Sorry to see such a loss",-0.6388
580,Told you...!!! Lost your chance to sell this! Will drag down on Monday below 300 and going back to way down with class action law suits to follow soon!!!,-0.7178
581,The epitome of manipulation!,-0.3784
582,is that volume right??? 440k in 7 minutes???,0.3397
583,"I think I know another ""good strategic move"". Let Biogen say that all their drugs don't work and stock price fall to zero. After that let them announce buyback session of ALL shares circulating. Their gonna make it private company and declare that all their previous statements were just ruses to lure out shares from weak hands. PROFIIT!",0.8838
584,Drops everyday. Powerful Sell program.,0.4777
585,BIIB waiting to see SAVA Alzheimer’s results in phase 2b trial. BIIB az drug in trouble - too many caveats and wrong clinical approach. Go SAVA !,0.6923
586,remember the dude on TV saying 40000$ for bitcoin. no way i'll listen to them:),0.4888
587,AMAZING... Got a GS upgrade to $338 and we're already starting to sell off pre-market.,0.3251
588,"Warren Buffett bought stake in $BIIB. Too bad he didn't look at the $SAVA data, and talk to Remi, first!",0.4645
589,Cover now shorties ,-0.0401
590,I will start munching if the MMs do something crazy today to the downside like $200. I don't see that happening but crazier things have happened in this grand casino called Wall St.. But bulk of my purchases are going to be next week..,0.7875
591,scam,-0.5719
592,Don’t have a position but would like too. Sell Puts or buy outright? Thanks,0.8854
593,"hit too hard. 15% down can be justified, not 30%",0.1829
594,"If Biden is President, the timing of a dementia treatment is well timed. He will be in the first stage trials I assume.",0.099
595,"Does anyone else get the feeling that ""as soon as possible"" might mean that they might not file it this year?",0.713
596,"Biden needs this approved for his condition, now this is going to be declined by FDA, the question then is, where can he find an alternative treatment? Hint: China has approved an anti-dementia med earlier this year.",0.8834
597,$BIIB and $GILD desperate for pipeline to find growths needs to buyout small and mid sized biotech special like $EXEL. $ARRY or AMRN their very undervalued,0.8633
598,This does not look good going into earnings.... any reason why they may beat expectations??,0.6809
599,What a yoyo this has been,0.1579
600,Any news?,0.133
601,This is still under the WS mafias control,0.0252
602,Few weeks ago some hedge fund try to buy from anyone for $216 and since BIIB went up Like 6% I think those guys see bigger returns for BIIB in the near future or a little bit longer. They are still working on with their partner EISAN ( Japanese Firm) on ALZ diseases and few of theirs drug in second phase like stroke etc. if any of those drugs come up with any positive data that will give BIIB a life and then you will see $300+ again because they are all blocks buster drugs especially in neurological disease.,0.9779
603,"Tom Bishop on Anavex Life Sciences (AVXL)....""This is phenomenal. Nothing on the market today can come even close to this and if the company can prove this in the Australian trial it will be on track to become the lead Alzheimer’s drug in a market that is at least $10 billion worldwide.""https://finance.yahoo.com/news/top-picks-2020-avanex-avxl-100000802.html",0.8232
604,What happened after hours? BIIB dropped like its hot,0.2158
605,"if you bought the upgrade a day or two ago, you got snookered.""'.Reuters reports that Democrats on the House Committee on Oversight and Government Reform have launched an investigation into price increases for multiple sclerosis (MS) drugs. Seven firms have received letters requesting information'....'"".Of the seven firms contacted, Biogen has the largest exposure to the MS arena, accounting for more than 88% of its Q2 product sales""",0.5349
