,Recent headlines and conversations for MMM,Polarity
831,"Now, if you don’t think the government is doing its utmost to bring on hyperinflation, check this out:1. FEMA is going to pay up to $7K for COVID-19 funeral expenses;2. Each physician who does covid testing is paid $1,000 per day (250k/ year);3. Hundreds of billions to airline, restaurant, oil, and industrial bailouts and assistance; and4. Hundreds of billions paid to individuals for not working and even if they are working. Of course the Treasury has no money in it to pay for these things. So they will just sell debt, which the Federal Reserve will monetize. So, it will all be paid for through inflation. In other words, the poor will pay up the nose to bailout all these people and entities. And who will benefit?: the owners of hard assets like 3M stock and option holders. So the poor will be feeding the rich and will be buying them slopeside condos in Colorado so they can kick back and smoke a little rope between ski runs. Only the devil himself could have devised such an evil system. And just who were these devils who turned the founding fathers’ equitable system on its head? Well, it was none other than their original enemies: the British Crown and the Vatican’s Jesuit order with special assistance from the Rothschilds, the Rockefellers, and the Freemasons. And to makes the founders really turn in their graves, all these handouts are unconstitutional.",-0.6457
832,Huge DIPPED ON HTZ NOW. LOAD LOAD THE BOAT. Carl Icahn is holding 40% of the company. Should bounce back to $10 $MMM $UBER,0.9349
833,Newbie Question... how often does 3M pay their dividends?,0.3455
834,Long term chart... the big support seems to be around 95$... geeze,0.6704
835,bunch of crybabies same as clown,0.2199
836,3M lost the first bellwether trail. https://www.wsj.com/articles/3m-loses-first-trial-over-military-earplugs-11619809398,-0.1526
837,I've had MMM for 3 yrs and it seems to me it has NO enticing catalyst. Got out $5.00 ago-mistake? Thoughts?,-0.1415
838,"3M, please come back to $190. I miss you!!",0.4391
839,MMM is down 8.13% to 130.16,-0.2462
840,Can market maker know every trader?,0.1575
841,Whoopie. this will be a great day!,0.6523
842,manipulated ...,-0.3818
843,This is a great time and price to add shorts,0.782
844,Can anyone verify? I can't remember where I read it yesterday but the report was that the US federal government still hadn't asked for bids or granted contracts for any company to make additional masks or other medical equipment despite VP Pence having visited 3M last week. Also why would they drag their feet on this?,0.952
845,anyone has an idea why the sell off today on heavy volume while DJ was up more than 300 points?,0.2296
846,3m has American blood on its hands...I hope this stock crashes and the selling is unrelenless. I hope the public outcry is tremendous and they get crushed.,0.3289
847,"what happened to 3m, it's underperforming so much....",-0.2233
848,PE too high,0.4717
849,Nice buys after hours. Shorts might want to cover soon.,0.4816
850,Get ready for the reversal this week. Lot of weak hands got shaken. Thanks for your cheap shares! When news hit about China trade deal being finalized this will rocket to a new 52 wk high. MARK IT! In the mean time small up ticks each day. MMM = Great company,0.9592
851,3M is solid....great investment!,0.3849
852,yowza!....go 3M %^ ),0.0
853,buy it and ride it out. it's a discount under 200p/e isn't out a line at 29. there's a lot of high end companies with some really high p/e,0.8258
854,Stand back please! I'm going to perform DD! https://mobile.twitter.com/cnnnewsroom/status/1243550286528032771?s=12 $APT for the win! $MMM and $LAKE not so much.,0.9163
855,"So what does the CEO announce.....restructuring.......which should have happened long before the revs/ earnings tank. This should cost some bigwigs their jobs. If Hank the Accountant made a $5000 mistake he would be fired....these jokers should'nt get off easy. Board of Directors, do your job, lop off some executive heads...they've earned it.",0.8005
856,Hope people didn’t get real confident that MMM was going to hang in the 180’s very long.,0.8583
857,"165 million masks in three months delivered to the government over the next three months. Trump just said 3M is a great company. Boy, didn’t he flip flop on this in just a couple days? Nobody’s making anything close to these numbers nor did any company ramp up as fast as 3M.",0.8534
858,buy low!,-0.2196
859,"April 9th: mRNA vaccines may EDIT your genes through “retro-integration” … and the DNA damage might be passed on to future generations“With each passing day, it’s becoming increasingly obvious that mRNA vaccines are a death weapon against humanity. Now, we’re learning that mRNA vaccines may pose a threat to the viability of the human species thanks to the fact that a mechanisms exists whereby mRNA sequences can be transformed into DNA and inserted into your human genome.This means there is a possibility that mRNA vaccines might turn you into a “genetically engineered” organism, with potentially catastrophic consequences for your own health as well as impacting fertility and future generations. It is technically possible that mRNA vaccines may cause widespread infertility, birth defects or horrific deaths by altering human DNA ...”",-0.361
860,"Ouch, on a rally like this!",-0.3448
861,"The stock market as a whole is a bit high. MMM is no exception. It is a fantastic company, but the valuation is getting up there.",0.6555
862,So much for the little positive movement this stock had recently.,0.7277
863,Art of the Deal? more like .... Can't CLOSE any Deal,0.559
864,"I'm guessing that the street was not too happy with the 3M acquisition of Scott Safety for 2 billion dollars. The stock dropped a lot in early trading and underperformed the market at the end of the day. I wish they would present some solid financial data that showed the value to the company of their acquisitions. Especially with the previous CEO Buckley, they never had a good story to tell about how profitable an acquisition was for the company",0.9783
865,The unusually large drop in home sales has real estate agents baffledDiana Olick | @DianaOlickPublished 23 Hours Ago Updated 15 Hours AgoCNBC,-0.0256
866,"Too funny, this will close over $200 today",0.3431
867,Sack the CEO,0.1992
868,Why is 3m moving so much after hours?,0.3609
869,"More selling for bottom soon, near $100. $180 for high.",0.161
870,160 is a good entry point,0.468
871,"This is not an investors market anymore. HFT have killed it. They need to add a .25 cents tax on every trade, you'll see how fast this computers disappear.",-0.7467
872,"3X down versus the Dow - its not making sense. I know timing is everything but as soon as things settle down, 3M’s board has to do their job and shake up their management. They are just not getting it done. There is no way this stock should be dragging the Dow especially when you consider their mix and global position. My guess is like our government, 3M must have been caught flat footed and not in an immediate position to supply? That’s only a guess but can be the explanation for its stock performance?",0.9559
873,Is 3M run by a bunch of spineless neoliberals?,0.291
874,MMM is the big slug. No growth since 2016. Price is too high as silly people plow into a 3.5% yield with no EPS growth.,0.6947
875,Why 3M stock lag against other,-0.2034
876,Looking to add at these prices,0.2173
877,Treason,-0.4404
878,"This can’t be good news for overpriced mmm can it ?“Economy still humming, but manufacturer optimism decelerates, flash PMI data show“",0.7831
879,"Wow, what a disappointment. Glad I sold all my shares before this Quarter's report. Management at MMM needs to exit their roles given the poor performance and projected continued poor performance. Compared to their peer this has turned into a dog.",0.6902
880,Can't believe hack dividend investors are still piling into this one. Hunk of junk.,-0.2082
881,Up over $9 a share at opening now $2 bucks. Better than a negative but feel the market is normalizing the results.,0.0737
882,Would you buy this stock if you had money to buy? Trying to pick out a stock I want to invest in.,0.7932
883,& back down it goes..,-0.1802
884,"Thank God President Trump thought to look into sanitizing masks. FDA approved Ohio company Battelle to sanitize 80,000 masks at a time!!",0.8733
885,"FBI, IRS, SEC, SHOULD LOOK INTO ALL THE CASH SALES FOR POSSIBLE MONEY LAUNDERING.",-0.3335
886,"Major Dow Shakeup CRM, HON & Amgen InPfe, XOM & RTX OutMaybe someone thinks MMM is next out",0.0309
887,ex div today. Get that free money.,0.6403
888,"After the coming correction concludes, don't buy MMM. Keep it simple and broadbased - instead buy UPRO and TQQQ.",-0.4156
889,request CEO resigns!,-0.1118
890,"@Steve, this a good trading stock over the past few years once it dropped from about $260 in late January 2018. Once it got down below 160-170, it really has been volatile from May 2019. It is financially strong with good earnings and a nice dividend payout. I do think at some point, it will resume its upward move and get above $200. They have an excellent R&D department and have multiple products that are used worldwide. It will be interesting to see how they do in the next year or two.",0.9778
891,3m makes the n95 mask,-0.0157
892,MMM is down 10.05% to 197.07,-0.2462
893,"The American people believed that three well built skyscrapers came down from jet fuel (kerosene) and office fires. They also believed that a 100 pound kid could kill twenty six people and injure only 2 while carry multiple weapons and over 500 rounds into a school while a live shooter drill was coincidentally happening at the same time at a Catholic school just down the street. They also believed that 3 shots could kill the President with two wounds, could injure a Governor with three wounds, could strike a guy standing on the curb with one wound, could leave a bullet in decent shape in a stretcher in a hospital, and could put two two strikes in the car carrying the President and the Governor. Now they believe that the government and media are telling the truth about millions dying from a virus that started in a meat market in China where bars were being sold. Battered house wife syndrome on a massive scale I say.",0.2398
