,Recent headlines and conversations for MA,Polarity
1076,Downtrend while visa going up? Why’s that,-0.0485
1077,MA will be 280 in next three months.,-0.3681
1078,"Dude, if there was a pop, it woukd ruin the chart!",-0.227
1079,Gift here,0.4068
1080,Great company just wish it was cheaper that’s why I’ve been buying $V but definitely willing to buy this company at 280,0.897
1081,Why does this keep going down? It never keeps early gains first thing in morning,0.326
1082,MA is down 4.97% to 291.51,-0.4608
1083,Why is their pe so high?,0.377
1084,All time high tomorrow,0.2397
1085,"@Greg:-Nobody is right in this frenetic Market that's responsive to noise in the Macro-Economic environment -- unless you want to take credit for being a ""genius' in your own mind!*** That's why you buy the inflection type pullback during this discount opportunity!",0.9049
1086,They’ll crush earnings!!,-0.2176
1087,U do NOT buy here,0.3349
1088,hmm AXP sold off hard on earnings wouldn't be surprised if it happened here as well.,0.0938
1089,Nice read on one of my favorite div growth stocks:Mastercard's Plan to Dominate Digital Payments Is Priceless - TheStreethttps://www.thestreet.com/investing/stocks/mastercard-plan-dominate-digital-payments-14913092,0.8725
1090,Buy folks buy,0.2595
1091,Wow another Tesla stock,0.6963
1092,Mastercard is down 4.93% to 326.89,-0.2462
1093,"AJ Banga warns on revenues in this quarter, and then immediately after, vacates the day to day job as CEO to move to executive chairman. One item is troubling enough. How about two?",0.0786
1094,Excellent ER. Well done MA!,0.8093
1095,B2B payments will provide continuous mega growth for the next few decades. Long Ma,0.5506
1096,oh yeah baby climb.,0.6606
1097,"someone big is dumping shares today, the price action tells it all. long term though still a winner 18% eps growth",0.903
1098,Think it’s time to get bullish with the J&J vaccine approved. Time for spending to kick into gear! BUY BUY BUY,0.9524
1099,Guru... You jinxed the share.... Please do not do it tomorrow,0.4571
1100,I bought a put for 330 y’all think it’s gonna drop a little before it surges or should I sell rn !?,-0.1201
1101,This is such #$%$! How could the stock keep dropping this much,0.4457
1102,The market response to earnings is bearish to say the least.,-0.6405
1103,Remember that 3 days ago American Express Q1 2020 earnings beat estimates...https://www.google.com/amp/s/finance.yahoo.com/amphtml/news/american-express-axp-q1-earnings-122512259.html,0.3393
1104,https://www.cnbc.com/2018/09/06/insider-selling-jumps-to-highest-level-of-year-as-execs-fear-volatile-september.html$AAPL $AMZN $AXP $BA $BABA $BAC $BRK-B $C $CSCO $CVX $FB $GOOG $GOOGL $GS $HD $IBM $INTC $JPM $MA $MSFT $NVDA $NFLX $SQ $SNAP $T $TSLA $TWTR $V $WFC $WMT $XOM $DIA $IWM $QQQ $SPY,0.0
1105,Bought a thousand V this week @ $190.23. Valuation is great so run Visa run!You gots to love forrest . . . .,0.8898
1106,Up 3.8% after hours. Maybe this will carry over into tomorrow.,0.1278
1107,Another buying opportunity is at hand in two of the great businesses of our time— that’s MA and V!,0.8877
1108,I got in on the IPO at 7,0.2484
1109,Any thoughts on competition from Google credit and Facebook credit affecting future profits here?,0.8192
1110,where is support...203 ?,-0.0046
1111,And i sold my MA shares like a doofus to buy Visa,0.5417
1112,"Both MA and V are down a bit today vs getting back to past highs. With the economy coming back, people out and about spending again, on line sales rising and overall stock markets up.....there should be no reason MA and V is not way up. MA should easily be over $335 and Visa should be over $215, as it makes new high soon after.Lets stop holding these stocks down.",0.6397
1113,"I have to share that this stock has certainly been a welcome surprise to me...dunno what took me so long, however. My net cost basis after a $285 June 2020 covered call currently in force is $223 in March of 2019 written in July 2019. I thought that would be adequate to provide some down side protection yet give enough headroom for appreciation. As we all know, it blew right through my downside protection so I will roll this call up to the Jan 2021 $320's providing my prediction of a 5% stock price uplift occurs due to the earnings release on 1/29/2020. As of today, that makes for a ~30% annualized gain not counting the dividend yield at my cost basis and that was just bumped to 41 cents. What a winner MA has been in just 9 mos of holding.I am late to the MA party, but glad to be here...this one is a winner for my portfolio, long term...",0.9849
1114,A Death Cross has occurred to MA on 12/26.,-0.7114
1115,A new 52 week low coming tomorrow. Jump off this boat and sell!!,0.4283
1116,"just added more MC and Visa this morning, happy about it and keeping it long. pretty much the only stocks im not worried to keep, all the rest i sold and waiting for a better time to buy",0.969
1117,"man, I bought this to not see 5% swings",0.1101
1118,When is the best time to take profit?,0.8063
1119,Why red premarket?! I,-0.2751
1120,Sun trust target price lifted,0.4692
1121,Does anyone of you things this investment is in danger if a digital Euro or other digital currencies will be released?,-0.2805
1122,resistance at 232.Can MA break to new high?,-0.2254
1123,Was this upgraded?,0.0229
1124,why going down?,-0.2037
1125,so insane this is MA not V,-0.5346
1126,My order is in @ $380. This is a case of high expectations exceeding very good results. Is cross border Rev going to make a comeback? Yes. So buy it.,0.9166
1127,"Why MA depends on V movement.Don't get it.Resistance 335, MA has to break it before going higher",-0.462
1128,I should have sold this morning,0.1149
1129,Will test $280 level. Excellent buying opportunity at that level. Wait for those levels and buy back in! Long term gold this stock. Will re warded long term! Fin tech mogul here.,0.9584
1130,Is after hours showing down .87?,-0.3103
1131,Any comments on this new payment system Europe is putting together that they hope to have in place in 2025? Obviously could have a huge affect on MA and V,0.7174
1132,"Fact: Coronavirus is a scary event. Fact: Coronavirus will pass, like SARS, Avian flu and other Fact: Use of credit cards is increasing, while use of cash is decreasingFact: Chinese middle class will reach 600 MILLION by 2025Fact: Mastercard recently received the approval to operate in ChinaShould I keep going ?",0.8184
1133,Valuation ALWAYS matters! Those who bought MA without considering valuation are fools.,-0.4791
1134,LOL.. Every working human being in this planet has a mc or v in their wallet.. go long,0.4704
1135,"Easy way to get rich. Buy MA, V. Wait a few years. Poof! Retire early.",0.7117
1136,"Expected $1.87, whisper is $1.89 for .02 beat.",0.5296
1137,I am buying another 200 shares on this slight drop. Good luck to all longs!!! GO MA GO!!!,0.7485
1138,Wake me up when we at least get to January 2019 price level of $190￼,0.6619
1139,MASTERCARD =$$$$,0.0
1140,Pat Couldn’t agree more with your analysis of MA & Visa... should definitely be in everyones portfolio if they constantly wanna make &!! Everyone around the world uses these cards!!,0.7722
1141,the three-month daily chart suggests MA needs to go up to about $278 before it starts a downturn. I bought January calls for 270 strike yesterday afternoon just before closing.,-0.2747
1142,Red again :(,-0.5796
1143,MA==garbage!,0.0
1144,Lily.... are you an employee of Stock Dork or what?Give us a break will you!!!,-0.5502
1145,PE of 41 is still way too expensive.,0.2645
1146,cryptos/blockchain are going to do good as payment processors and it is an existential threat to all traditional processors. Even if MA and V launch their own crypto currencies the margins will be way lower then what they are now.,-0.3616
1147,Added!,0.0
1148,Does someone know something? mind telling me?,0.4098
1149,It's going downnnnnn,0.0
1150,Go MasterCard!,-0.0763
1151,Selling pressure at the end.,-0.3714
1152,"Got in heavy MA & V last month, not best timing but long and look for both to outperform",0.7955
1153,Just bought MA on Friday. Blame me,-0.3903
1154,Why the pump! Crypto news was out at 1 pm yearsdday,0.498
1155,"Worried about inflation? Buy MA and V. They collect af fee on the transaction value. If inflation raised prices 10%, they would have 10% more earnings growth. Add the grow of cards and penetration world wide and you have the perfect stock. Any threats from alternative payment methods are not significant. The transactions must be financed by the banks as 85% of charges are paid on installment. The perfect equity investment.",0.9411
1156,I predict by this time next bitcoin will be known as the biggest Pyramid scheme in history,0.1147
1157,"People selling their ETF-s. MA is good, keep holding.",0.5992
1158,"you know, it did go down just recently to 260 and it was back up to 280.00 within 15 days. Dont know what all the worrying is about. I'm sure everyone said the same thing then, what happened, OMG.",0.3665
1159,Just got into this. Long term holder,0.5617
1160,It's really becoming a very strange market. Friday we sell off a 1000 points nobody wants Mastercard. Monday market goes up 1200 points everybody wants Mastercard. Tuesday comes market sells off a 1000 points nobody wants master card. Does does not make a bit of sense. You either buy or sell it but you can't do both at the same time.,0.3129
1161,Santa Rally!,-0.1849
1162,$390 are in MA’s ūber-Bulls crosshairs into the closing bell !!!,-0.4904
1163,It’s all good amigos. We’ve had a fantastic run and we didn’t give anything back after the ER. Look at FB getting crushed on their ER. Now it’s all smooth sailing for the next three months and the great ER will carry the day. IMHO,0.9695
