,Recent headlines and conversations for UA,Polarity
1478,gonna buy more puts 5 dollars a share april,0.406
1479,all in @ $9/share,-0.0603
1480,Wow.. fell off a cliff.. probably go much lower.. bad management,-0.391
1481,#$%$ mate thougt i was golden when i got in at 20... ...,0.3625
1482,Big share dillu coming. Running out of cash.,0.5893
1483,Jonny boy nobody would want to buyout UA even at these depressed levels this thing is a shrinking ship will go BK soon my friend,0.367
1484,Taking bets in how long until Richard starts flapping about dead cats..... I'm saying tomorrow 8am,-0.3161
1485,"UA stock already going down, are the big dogs slowly pulling out before the big dip, to leave all of us hanging with the losses......AGAIN!!????",0.4629
1486,there are nearly 2900 post here and 2000 or so come from one short basher...John,-0.1618
1487,"With Dumbrow and Parkinson both leaving, big change in creative and design of product ahead.",0.5296
1488,here we go.. 20.64 today,0.0614
1489,UA-C is trading 10% less than UA . Not sure why anyone would own this class c stock,0.7293
1490,"UA was the only stock to openly upfront say the would lose a lot with the corona virus, and it’s got punished the most.",-0.0794
1491,Buying this still feel it will be the next nike but much better,0.6748
1492,"This is why you don't take ANALyst advice: Under Armour, Inc. (NYSE:UA) - CLSA Initiates Coverage On Under Armour, Inc. Class C Common Stock at Buy, Announces $37.00 Target",0.7296
1493,GAME DAY!!!,0.312
1494,"Put all this together:1. Last Friday, went up with very low volume - not a good sign.2. Now stands way above 50-day and 200-day MA - last time it happened, it went down by 35%.3. 2019 EPS estimates reduced from 35 cents/share to zero cents/share in last 90 days.4. 2010 EPS estimates down from 53 cents/share to 52 cents/share with FPE of 45 which is too high.UA should be at around $19 within the next two weeks.",0.345
1495,"UAA shoes kind of suck, they need to rethink the whole platform",-0.3742
1496,looking for price cut in half,-0.1796
1497,The reason UAA is down taking profit... Whenever they stop selling it will go up.....,-0.5404
1498,The new coranvirus masks seem promising. Something tells me the mask thing is going to be around for at least a few years.,0.4479
1499,UA is a buy. Got in under 15. Good luck all!,0.7383
1500,It's not too late!https://finance.yahoo.com/news/under-armour-inc-stock-finally-184250852.html,0.163
1501,Time to put money in this stock. It is certainly pointing north based on the chart. Looking to fill the gap in the $30s.,0.7857
1502,Thank you Colin Kaepershit!,0.4752
1503,1 year cup base pattern. All good with some profit taking today.,0.8879
1504,We are going to need a huge earnings beat to break through the resistance at 22.,0.3044
1505,"Ugh, what's the bottom?",-0.5707
1506,This might fly to $24 ?,0.2354
1507,Haven't broken 20 since the $5 crash on Jan 30th. NBA Championship tonight should push to 20.50-21 come Monday. Especially if Curry takes MVP. Good selling point?,0.6899
1508,Day Trading! Dead Cat Bounce!,-0.6507
1509,Think about it like this...if you had 10B and you could buy ua outright...or you buy 10B on 10 year bonds at 3.10....over the next 10 years...what do you think is actually going to return 3B?,0.754
1510,But muscle said it was $$$ money to be made though,0.7341
1511,"SHORTS GET squeezed, badly, at this price it's a buy",0.1621
1512,This Cody guy is an idiot. The stock goes down by 54 cents and he things its going to crash.,-0.6349
1513,More exec's leaving. GM of Team Sports most high profile. Frisk continues to clean house; cut SG&A to get to profitability.,0.6799
1514,Why is UA-c Now trading 20% lower than UA...Bad enough that UA has dropped a lot recently but also UA-C drops even more than UA everyday. Will the gap ever close??,-0.2381
1515,https://twitter.com/darrenrovell/status/1276911854607118337,0.0
1516,I hate to be the bearer of bad news guys but this is probably going to crash soon. UA hasn't been completely honest with us.,-0.8669
1517,Just erase all my 35% gain like that,0.6837
1518,think it will tank on earning report,-0.2747
1519,Another downdraft. Expect another dollar down at the close. Still overpriced...,-0.2996
1520,"Well so much for those gains today, look at it plunging",0.6122
1521,I'm ready to short 1000 shares at the open tomorrow for a quickie.,0.0529
1522,DKS tumbled big,0.1166
1523,How did UA fall so badly? It was the best performing stock from 2012-2016. This period included 3 stock splits and over 400% ROI for investors. What happened in the past 8-10 months that made them become the worst performing stock in the S&P 500? I am looking for specific events and decisions by management.,-0.1339
1524,Million dollar question will do they in next quarter (July to September) since ppl might want buy new shoes / shirt for workout and jogging etc.,0.4086
1525,Sell now and avoid more losses.,-0.5313
1526,Fly rumor that UAA is putting themselves up for sale. COLM is interested don't know who else. Guessing it would be good for LULU or AMZN and would be after MyFitnessPal is sold off,0.8785
1527,Give me 20 man. End of the Week?? Hope so. With the Nike scandal shows how rotten Nike is. UA long and strong.,0.5722
1528,"150 million accounts exposed. Big business is killing us. They don't want to pay good wages. They fight to keep unlimited immigration, and send jobs overseas to keep costs down. And now they are enabling bad people to steal our wealth.As time goes by, I'm thinking socialism, where big business is nationalized, isn't such a bad idea.",-0.8953
1529,"""Teens no longer like UA"" .... if ive ever heard BS ... this is it. Every teen i see has UA on at least 2 parts of their bodies. Thats the quote i was waiting on... im STRONG buying now.",0.8471
1530,"Kevin Plank made his money and forgot about the stockholders, Now he wants to make Baltimore great again !",0.757
1531,LOL Mike has got his wife on here trying to sway people to sell their stocks. desperate times call for desperate measures.,0.5851
1532,imo i think they will have a great earning report.,0.7001
1533,$9 million? What? Gum money?,0.2554
1534,It is about time that this company has positive momentum going for it. Could be very good and profitable summer starting with Golden State and Curry winning NBA Title.,0.9465
1535,bot a lot of clothes from it,0.393
1536,There sure are a lot of WISHFUL thinkers on this board. LOL,0.8494
1537,Dead Cat Bounce today .... Get out now ...... That's all !!!,-0.631
1538,Watch the rally up in UA Friday pre-market until earnings. After earnings you won't see the 20-23 range anymore,0.4157
1539,Are people going to boycott UA because they are supporting the kneeling players at the NFL games?? UA is a major sponsor of the NFL. I got some UA stuff.... but I ain't buying any more until they clarify.,0.15
1540,Bought 2000 shares today as I believe the bottom is in or very close to being in. Only time will tell.,0.109
1541,"This stock market cap is 7B, compare to LULU at 47B and Nike at 217B.Target price : 30 B market cap at least.. that’s 60 per share.This stock has 2 tailwinds as Corona goes away : retail stores will reopen and sports events at all levels will start up.",-0.5007
1542,"High fly stocks like UA at risk if economy slows down as result of FED action today. Inflation is not a problem, so why FED didn't oblige Trump and reduce rates to grow economy faster just in time for election in 2020? Trump will fire Powell!",-0.8929
1543,bought 6000 shares at 6.98 when everyone was saying bankruptcy. im going to ride it to $20 and beyond. El-Erian is now on board. He was ceo of a trillion dollar Pimco. This should be a no-brainer for him.,0.7822
1544,PR interest seems low overall by UA. sales may go up,0.7386
1545,GREAT NEWS!!!!,0.7405
1546,Shorts losing their shirts. Squeeze them till their eyes pop.,-0.1209
1547,"There are a lot of ""experts""that are disregarding the turnaround that is already beginning and showing some early results that are indeed surprising these ""experts "" and the big surprise was revenues . The ""experts "" remark that sales increase was substandard in the US and it was but not so bad when they were predicting a loss . They damn by feint praise the international business is displaying an excellent future. The stars that endorse are first rate and so is the investment opportunity. It just might not cost as much to restructure as Plank is estimating as I am sure he wants to be conservative and never disappoint the street again and go back to beating the street. Believe me nothing better than having some extra reserves around . This is being bought by some shrewes buyers right now, watch and see if I am correct,",0.9818
1548,"Hey Plank, go buy Patagonia so you can own something that is trending the right direction.",0.4399
1549,Finallly a good earning. Strong presence overseas.,0.7175
1550,I extend my sincerest THANKS to short sellers who bought back borrowed shares today ! See you @ 13 soon.,0.8299
1551,curry4 is all sold out. that said enough!,0.2343
1552,bed bath beyond crashed retailers are in trouble,-0.4411
1553,look at where it was on apr. 30th before the sell off on tue & tell me great earnings!!!,0.8112
1554,is UA going to be a turnaround story in 2018?,0.1697
1555,UA is going to be at $25 in July.Keep selling and I will keep buying!!!,0.4404
1556,about to go reedddddd,0.0463
1557,UA is up 4.92% to 18.13,0.1818
1558,Time to update the Share projections to at least 25.00,0.2721
1559,"Another day......another new 52 week low.HOW MUCH MORE CAN THIS STOCK LOSE? AS OF 9:11AM, ABOUT $18.51 MORE TILL WE HIT ZERO. FROM OVER $50 IN 2015, TO $18........THANKS KEVIN PLANK FOR YOUR ABYSMAL LEADERSHIP.CALL THIS PHONE NUMBER KEVIN FOR A CONGRATULATORY MESSAGE......1-800-YOU-FAIL.",0.7814
