,Recent headlines and conversations for IBM,Polarity
1285,I’m not in this stock but congrats to everyone that played bullish on earnings,0.9103
1286,"IBM did not have good numbers, earninbgs are the most manipulated figures & even a dying co can show good earnings by cutting costs layoffs etc.. IBM has had YOY declining revenues and lacklustre forecast,, I am surprised it is still at this price point. Maybe its getting a gift fro uncle SAM. The 10year 10 billion Pentagon contract is to be awarded to a single vendor.",0.821
1287,the short are encouraging each other... give them some support... it's too early for them to start running away from us...,0.4314
1288,Watson is the best product by far IBM fails to see the value in getting Watson into houses before businesses and this is why amazon will ultimately win,0.8544
1289,"I try not to sell in to a big panic sell off, just on a revenue miss. I am a relatively young retiree who lives off dividend income. I think it is premature to declare IBM dead. At least I hope so!",0.1303
1290,$130 heading to $140 soon!,-0.0787
1291,"Rometty, while making over $32 million annual compensation, and a member of the highly prestigious Augusta National Golf Club, and serving on numerous Boards, just doesn't have the talent to compete in the high-tech world and win. This has been demonstrated by IBM's over-leveraged balance sheet and dismal, failed performance during this historic bull market.The old non-tech oriented Board will protect her. In effect, our company is held hostage by Rometty and the Board. They are failing, they are intransigent. And they should be thoroughly ashamed of themselves, having hurt so many people, and continuing to wreck their damage.",-0.8719
1292,Will earnings be good? Can anybody guess?,0.594
1293,Miss earnings.Sell .Normal for this stock.,0.1786
1294,What are the thoughts on small corps working on AI?https://seekingalpha.com/instablog/49867709-leadership-investors/5234229-namaste-forging-ahead-ai,0.1008
1295,skyrocket after earnings.,0.5819
1296,"From IBM site or third party sites:IBM unveils World’s First Integrated Quantum Computing System for Commercial Use. (2019.01.08)IBM Internet of Things reference architecture. (IBM site)Free of heavy metals, new battery design could alleviate environmental concerns (IBM Research Blog, 2019.12.18)How is IBM using Blocchain Technology (Prableen Bajpai, Nasdaq Inc. 2020.10.21)IBM is into just about anything trendy nowadays, and seriously involved. Those investments are about to pay, IMHO.Live long and prosper!",0.8283
1297,Buy for the dividend and some growth potential. IBM is listed as a 2021 Dividend Aristocrat.,0.7532
1298,Misprint? 3.4 Billion more like it!!!,0.5203
1299,Warren Buffett liked Ibm IT and services firm. In part because of its wide moat. Clients are reluctant to change IT providers he said. Think he sold because of Ginny. He liked share buybacks and the dividend increases of IBM.,0.947
1300,IBM needs to be leaner. So many highly paid directors and VPs sitting and collecting big checks. What for? I don’t know. True that IBM worker employees are paid low but execs paid way high than they deserve. IBM how can you make your worker employees feel strong if you keep negelecting them. Lots of high exec checks should be discontued and instead added to worker employee incentives.,0.9313
1301,Interesting piece... https://techstockobserver.com/ibm-common-stock-nyseibm-could-big-blue-choke-on-red-hat/,0.4019
1302,"Unless the people in charge change, this stock isn't going up anytime soon.",0.001
1303,IBM footnote says they did not include $3B in expected charges - so free cash flow also missed if you count this hidden $3B in charges - which Wall Street analysts will not miss - downgrades coming next week!,-0.2515
1304,https://www.finextra.com/newsarticle/33245/bnp-paribas-goes-deeper-into-the-cloud-with-ibm,0.0
1305,My next dividend reinvestment will net more shares. Woo hoo!,0.733
1306,I don’t think a male CEO will make a difference. I think the larger issue is they can’t sell into China because of the Chinese theft of intellectual property. Until that gets resolved IBM and other high tech companies won’t see the high growth consumer based companies have who have access to that market.,0.9276
1307,IBM on sale likely due to month end selling. Buy.,0.2508
1308,I really don't understand this company. Quarters after quarters they keep disappointing and yet the stock is trading around $140 all the time. Hello? What are people investing in IBM for?Will someone please explain to me? Am I missing something here?,-0.327
1309,"Down again today. Support at 140 is essential. If it drops below that, watch out. IBM is BLOATED with middle managers who are more interested in their bonus that the business. Rumors are swirling about layoffs in September AGAIN.",0.5815
1310,We need a Rick Flair WOOOOOOO!!!!! Thank God we gots a new CEO,0.8008
1311,"Iconic US stocks like IBM, Phizer..many others are most hated by analysts despite these companies have billions dollars revenues, give more dividends,US act standards, better stories, but the analysts are gung ho on new ipos and chinese stocks with many have not much revenues,lot of losses, not sure why?",0.7328
1312,Warren buffet once again was absolutely right to leave this dog and run for the hills.,0.5396
1313,Imagine how much IBM investors would have profited if they had followed Buffett into Apple.,0.7371
1314,Very nice pop..... Hope they can build off of this,0.7651
1315,"IBM , on a regular basis, buys back shares and increases the dividends. This stock now has a solid base around current stock price. For a solid investment, IBM will start to move up from here.",0.895
1316,"New 52 week low, CEO's gotta Go!",-0.2257
1317,Guess waiting to see it Warren Buffet sold or NOT maybe he bought????,0.745
1318,Heading to $160 soon,-0.0035
1319,don't buy this stock for anything other than the name and dividend. Been dead in the water for years.,-0.202
1320,"IBM acquiring Redhat is like Dell acquiring VMware. Redhat is a pure hybrid cloud play. Dell did well and IBM will do well financially. Not sure about any integration, may be a spin off at some point.",0.8973
1321,IBM earnings after the market closes today Wednesday.,0.0667
1322,Slowly but surely this thing goes up. Steady as she goes. I like it. I like it a lot.,0.9625
1323,Berkshire hast buy adom electric schoolbus,0.0853
1324,Only about $2/share more to go down to wipe out the 9/8 breakout/short covering rally.,-0.1433
1325,If watson is so smart why cant it figure out why IBM's sales have tanked 4 years in row??,0.413
1326,We will see 140's tomorrow.,-0.0597
1327,This is the final blurp of the last bubble as this dinosaur disappears in the tar pit of corporate looting.,-0.6124
1328,"IBM > Intel, upward-looking!!!! great earnings and solid dividends!!!! Intel will drop to 45!!!",0.7025
1329,In at $161.85. Thank you to the manipulators.,0.3697
1330,https://finance.yahoo.com/news/ibm-managers-discussed-ways-thin-191017816.htmlThis has been going on for years. Why were the same criteria not used to eliminate IBM's CEO?,0.288
1331,enough is enough. Ginny R has had her chance to execute the plan and she has failed. She talks a great game but the results are what matters. The board needs to take action and give Jim/RedHat a shot at moving this company forward. I know I am not alone in my thoughts and frustration. Ginny is a great sales person but has fallen way short in executing and running this great company as CEO. I will stay long but frustrated with the lack of performance. It looks like the div is safe from what I see.,0.9668
1332,Wait for it....,0.1284
1333,I’m selling at $130.,-0.0364
1334,Morgan Stanley said that 145-180 is doable next year for IBM with the coming split! both businesses will be stronger and cloud and AI will grow. I trust Morgan Stanley above all other firms. CEO will turn the co around imho just like the new Ceo at Microsoft did years ago! Red hat is the game changer.,0.9499
1335,"Long term investors wont look at IBM, it is a dead company",-0.2453
1336,"IBM is at the price that can be taken out by even a smaller tech. companies . It is now worths less than 10 What's Apps. Apple buy it and break it apart will have conquered the Enterprise world, and get ahead with AI, blockchain and consulting services.",-0.0213
1337,Big drop,-0.1643
1338,purchased additional today. will purchase more tomorrow if still at $139.00,0.3866
1339,IBM just eroded more shareholder value with this overpriced purchase. Heading downhill from here. Short!,-0.2613
1340,"Let me repeat, companies should avoid flaw processors with patches that will damage their brands if there're better options. Yahoo don't delete my posting......",-0.3648
