,Recent headlines and conversations for UNH,Polarity
1084,When there's blood in the street that's when you come in and buy em up! Totally oversold across the board!,0.589
1085,Where Bill Johnson at?,-0.2495
1086,Looking piggish,0.0
1087,For all those who are nor sure what is goin it’s because Bernie is rising in the polls in Iowa,0.6645
1088,Goldman upgrade today after 50 million nakedshort trade yesterday,0.278
1089,Great day. Just what we needed. And on a down day just went down a little.,0.585
1090,235 would be very very attractive entry,0.5357
1091,"Mafia, please pump more ...",0.3429
1092,"all we hear is recession, #$%$ it... keep scaring people. Manipulation at its finest.",-0.6869
1093,Up up and away UNH,0.3576
1094,"Socialists will never gain control of our govt.....Medicare for all, govt controlling health care will not happen in our lifetime.....this is a steal at these prices.",0.3613
1095,Kinda hungry too. throw in a millet mignon for dinner,0.599
1096,"IBM and UNH are today's whipping boys. Check this out from Barrons this morning. ....The price-weighted Dow, however, would be up if it weren't for two stocks: IBM (IBM) and UnitedHealth ( UNH). Both have price tags well over $100 a share, and both are getting hit hard today, though for different reasons.IBM ( IBM ) stock has slumped 7.46, or 5.1%, to $137.68, after its sales fell short of analyst expectations. That's accounted for 47.99 points of the Dow's decline. UnitedHealth ( UNH ) stock has fallen 6.65, or 3%, to $214.31, on continued fears about ""Medicare for All."" Its drop accounts for 43.74 of Dow downside.Together, the two stocks account for just nearly 92 points of downside, and without them, the index would be up just over 45 points. Today, you really can blame just two stocks for the decline.",-0.5074
1097,Bloomberg backs Biden. Game over for Bernie.,0.0916
1098,Pardon for sounding like a broken record...Another 52 week high!!!On the way to $400...soon...,0.3918
1099,time to fire up the lawsuits against Bernie and warren,-0.4007
1100,Over $200 by the end of this year! $$$$$$$$$$$$$$$$$$$$$ GLTA,0.4629
1101,"Buy UNH now because it is still on Sales now. UNH's PE is around 20 with dividends, earnings growth rate is over 25% because of great cash flow management. The most important thing is UNH beats estimate the last two years because of OPTUM.",0.8986
1102,"Head and Shoulders pattern now formed. If UNH does not break trend soon, going down for the year.",-0.2517
1103,Down yet another open again today. It’s a pattern. Selling every open for a month,-0.2935
1104,Still a huge gap that has not been filled down around 152.85 to 155.15Buy now at your own risk,-0.1147
1105,Iowa for Buttigieg OR Biden is both great for HMOshttps://thehill.com/policy/healthcare/467478-buttigieg-i-never-believed-in-medicare-for-all-that-ends-private-insurance,0.5565
1106,Another huge underperformance. They really have this stock under wraps. They just won’t let it move up. Dow up 315 and this dog is up 1.45. Dow up 1.2% and this is up half that at .6 percent. Safe to say the manipulators shorted calls and bought puts this week. This stock is just an atm for the firms that make makers in its options then they use alogos to control that price to make the options work for them. What a scam,0.9321
1107,I wish they hadn’t run up so strongly in anticipation of tomorrow’s earnings. They better be good or we’ll headed sub $300 again. Sleeping with the fingers crossed tonight!,0.8995
1108,"Big boys try to intimidate the call 220 this week. We will find out what is in the wood, why call 220 is still there over 5000 calls.and 225 around 1000 calls with the expensive premium. We will find out soon in a few days.",0.2892
1109,https://talkingpointsmemo.com/news/barr-defense-obamacare-attack-will-not-work,0.0
1110,I am a buyer at 228.,-0.2249
1111,unh going to $300 after earnings --going to beat the numbers by 30,0.2158
1112,I cant stop laughing!! any long who voted dumocrat doesn't deserve any profits!! watch and learn you morons.,-0.3094
1113,"Doubled my position at $240, to have a cost average of $250. I believe this is oversold, and I will go down with the ship of I'm wrong.",-0.0999
1114,"Uncle Bernie, AOC and today's Democratic Party....I hope any Dem investors in this stock appreciates this...",0.7722
1115,Have you felt the bern? Vote for Biden!!!,0.5203
1116,hopefully we see a nice pop by the end of the day.,0.7086
1117,"It is a great price to dip in. The earnings was out, so it will follow the market or itself, we will find out. I like UNH for long term.",0.9025
1118,"UnitedHealth Group is said to have closed at approximately $368.50 in the latest trading session, marking about a 0.45% move from the prior day while outpacing the S&P 500. That could be a good projection for their earnings report! Meanwhile, it is said that these other companies have advanced by about 442%, reversing strongly with an almost 54.76% hike year-to-date. Seems like a rock-solid potential and bullish technical! Take a look at some of the advanced markets today! This post is sponsored. Check the disclaimer on the landing page. https://prem.li/NextBigThingMedTechDisruptor",0.9546
1119,"The young ignorant liberals think they'll be getting freebie medicare. The fact is they will be paying taxes and those taxes will be used to take care of baby boomers. Then medicare and social security will run out of money, forcing these ignorant people to retire at much older ages.I am in my late 30's and I am putting max 401K contribution. I'm not stupid enough to count on medicare or social security when I'm due to retire.",0.6182
1120,"Nish is on a real tear here, blasting away at UNH. This will be back to $225 in just a couple of days, lol.",0.623
1121,Finally let’s see if it can close above 235,0.3748
1122,"Looks like UNH best days are past. Market soars 200 points, UNH is the only red in my portfolio of 42 stocks",0.7699
1123,"UNH way oversold based on this. Regards to ""medicare for all"" plan, its still only a proposal. it'll take much to try to make such enormous change in the healthcare industry. Their are major oppositions. quote: ""Most experts believe that the special rules required for reconciliation would prevent Congress from using it to pass Sanders’ proposal.""",0.8387
1124,"price movement is not always about past earnings, it's about forward guidance. BOTH political parties are calling for lowering healthcare expense for people. As long as they keep up the conversation, UNH could be lowering guidance to be conservative.",0.9075
1125,"Don't have to think about it now. UNH is no brainer stock at this price. The earnings for this quarter will be boring again. The stock is undervalue at this point. PE is around 20 or less for this year is real cheap. Don't worry about AOC, she has no chance to pass her health care into law. The GOP will not let it happen,.",0.9242
1126,https://finance.yahoo.com/news/top-ranked-value-stocks-buy-131101123.html,0.0
1127,"not wise to dump today, foundation is very strong, except CEO is replaced.",0.7386
1128,Guys don’t worry about the drop haha. It’s just Cramer implying that the stock will drop to 261. He did not highlight any basis for this statement so don’t worry about it just accumulate,0.3425
1129,why is it dripping? bought more again,0.081
1130,absolutely amazing health insurance company is making a fortune in stocks. is it any wonder why Healthcare is so expensive,0.7274
1131,Wow......pumpers out in drove this morning.............Reality is...........UNH pps beats on the down side...........,-0.1037
1132,"As I have said before, this market was looking for an excuse to sell off. I just wish I had taken my own advice a week ago and sold for a small profit. At this point, I am dollar cost averaging down... 250 shares at a time. I was at 248, added more at 239, and again at 235. One more time if it gets to 230. Current basis is 240. Should easily recover to this level once the Healthcare ETFs finish dumping shares. The good news is that Washington will be shutting down for a week through Easter, starting today... No more of this silliness coming from the politicians... at least for a little while. GLTA",0.959
