,Recent headlines and conversations for DAL,Polarity
720,Tomorrow is the day vaccine gets emergency approval and they can start rolling out those vaccines immediately. I pray for all the lives lost and hope we can return back to normalcy again,0.8587
721,Michael P ... nice call 4 weeks ago! .. recheck your posts ... we both added a little early @~51 but it's all good!,0.7758
722,"Delta et al. may have awakened a sleeping giant in that a clear majority of Americans are getting sick of being taken for fools by fascist and radical left wing democrats. Delta has taken Billions in taxpayer bailout money and now it's advocating for a 3rd World voting system like one of Delta's favorite countries China?""Those who can make you believe absurdities can make you commit atrocities"" - Voltaire",0.1376
723,announce a vaccine and DAL hits all time highs. No reason on earth to sell now. I will add money to my account and buy more.,0.8259
724,"Can I join ya'll please?!? May be a little late but better late than never, opened substantial position in DAL. Once July comes we'll be on the moon. LET'S GO.",0.8468
725,55+ BY MID SUMMER,-0.2157
726,The whole dip in robinhood premarket was depressing Gud that I bought at 27 today .. as buffet said buy when there is blood on street,0.2484
727,Just bought more:),0.1074
728,Who cares what it drops to people will eventually want to and need to travel,0.4995
729,Delta is losing 60M everyday. Worth it?,-0.2735
730,Way oversold. Loading up while it’s cheap.,0.6102
731,You'd think airline and hospitality stocks would be going through the roof right now with the CDC and every state nearly fully open and mask requirements being lifted.,0.2295
732,Last ex-div date was October 21. Will we hear about the 4Q dividend soon?,-0.269
733,Let's go Delta,-0.0912
734,1000 shares at $22,0.29
735,buy the dip sell the pump for quick cash,0.3914
736,"It could have sold flat today like yesterday and then tomorrow wouldn't seem so bad. NOW it's going to lose 15-20% in a blink of an eye and THAT will scare others which will then start the true tanking. Buying today will hurt anyone short-term investing and longs. At least for the next ??? months, year until it rebounds.",-0.7744
737,If you look at last earnings. The stock went up some took a dive then shot up 10 points. Soooo. Since last earnings. We went up abou 5 points. It may dive some then bamb. 55 -60. But summer pick up. 65. Halaluaaaaaaaa.,0.5578
738,I love this stock but the price got high and I secured my profits. With all these protestors I see a second wave and I will buy at the dip. I am okay with my profits,0.9541
739,Next resistance to cross is $36.97. Let’s hope we get there before the airline stimulus 2.0 is announced. That way we get to $41 in September.,0.4335
740,Move on now Shorties. Go find another sandbox to play in!,0.5199
741,"If you think about it, the portion that doesn’t have to be paid back, is about 3.92 billion which would if you injected immediately to their market cap is about that 29-30 level of share price, so it will most likely shoot up and then burn down little by little",0.1277
742,How is this thing still going up when we're about to see the biggest decline in travel since probably world war 2.,-0.4734
743,easy dip buy before earnings,0.696
744,Going to the Mount Everest very soon..,-0.188
745,"Guys if you want a realistic pricetarget for Delta, check this out https://www.youtube.com/watch?v=3dwVVkQgpr4",0.3138
746,Love the trolls saying DAL is going belly up. DAL is the leader in the sky. Invest with confidence.,0.9299
747,"Buying this at 48 is almost a sure bet. All you have to do is look at the data, omg.",0.5537
748,"Once Delta Airlines files for bankruptcy protection, whether that comes in the form of Chapter 11, administration, or whatever.The one change you may notice is that your airline miles will permanently be cancelled.",-0.4
749,Forget it. This airline needs overpriced corporate bookings and you can forget about that for next 2 years,-0.3721
750,"hello my friends! I got a few questions for you. I appreciate every serious answer! How big is Delta in America? What can you expect from being long in this stock? Aren't the US opening up by the end of 2020? I only got these 3 questions atm. I appreciate your answers. Greetings from Sweden, stay safe and nothing but love!",0.9582
751,"In anyones PROFESSIONAL opinion, do you see DAL going back to $60 within the next year?",0.452
752,DAL is actually is GREAT SHAPE for this. Look for 30s this week and 40s next week,0.8336
753,Debt holders confident Delta will be fine. Secured bonds now selling at premium in open market and unsecured debt just issued shows market’s confidence.,0.3992
754,What’s the point of being a Delta shareholder of the airline doesn’t even take care of its investors and provide some perks for flying?,0.5129
755,"Covid19 it's a thing of the past, new study just came out from German scientists saying Covid19 it is not fatal as it claimed to be previously...lol merely a seasonal flu....",-0.2395
756,is it a green week or just a green day,0.2639
757,Oh looks like it will retest the low $22 soon... and why did I buy at $24 yesterday? Get ready for crash landing...,0.1028
758,"Enough sell order at 27$ is in. Cmon robin hood's, buyyy. It's a great business with alot of business going on.",0.8834
759,"The world will NOT resume anything close to normal for the rest of the year. Only by God's grace will it be sooner than that and after the way most people reacted to this, I wouldn't be counting on his grace any time soon. Filling shopping carts with things you don't need and buying up precious commodities that the elderly and sick need makes the human race appear worse than animals. Just run the daily case count and add 21 days to it. That case count has to drop to almost zero before normal can happen again.",0.9714
760,Buying here!,0.2996
761,"“It depends on the form and the price but broadly speaking it’s the green light to carry on with the QE trade -- buy everything regardless of valuation,” said James Athey",0.1297
762,Take a drive out lately ? See all that traffic ? Been to the stores ? People will fly again even if they have to wait on long lines and pay an extra premium,0.865
763,Anybody know why the airline stocks are holding up well in premarket trading as the futures are getting pummeled?,0.72
764,With prices in the mid to low 20s....March 25 Deutch Bank upgrades to a Buy. Anyone read the report?,0.0585
765,Manufacturing workers sound alarm on COVID outbreaks. More cases and people are dropping fast . No one is flying :(,-0.7566
766,Whoever wins there is bipartisanship support for airline stimulus so buy in while u can,0.8125
767,They had some interesting insights about DAL on http://tradenow.xyz. Definitely made me think twice about the company.,0.7648
768,Well what’s crazy is when the government gets to buy the stock at 24$ for the next 5 years wouldn’t you think they would manipulate the price above that price so they can profit during the next several years?,0.7435
769,The easiest short term trading i have ever made is buying DAL on red days..it bounces back the next day nearly everytime,0.1514
770,American Express is now offering bonus miles and more ways to earn MQMs for select Delta SkyMiles American Express card members.,0.6408
